order,class,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20
1,4,0,0.00463404,0.0082534,0.01037578,0.010396,0.0074577,0.0007226,-0.00922036,-0.02038226,-0.03044758,0,0.00117094,-0.00137114,-0.00545744,-0.00967842,-0.01410558,-0.0192479,-0.02320868,-0.02591666,-0.02696866
2,4,0,-0.00813646,-0.01624734,-0.02476976,-0.03287164,-0.03977154,-0.04523858,-0.04989728,-0.05231402,-0.05230084,0,-0.00643318,-0.0128647,-0.02070418,-0.02913314,-0.03651302,-0.04210378,-0.04659786,-0.0460072,-0.04041992
3,0,0,-0.00119182,-0.0036509,-0.00594734,-0.00978236,-0.01441266,-0.0197244,-0.02499948,-0.03058776,-0.03405066,0,0.00048854,0.00154484,0.00453868,0.00680756,0.00848444,0.00960536,0.01030404,0.00897658,0.00800098
4,0,0,0.00144608,-0.00096482,-0.00686984,-0.01476038,-0.02349268,-0.0310978,-0.03532714,-0.03538022,-0.03000234,0,-0.00234996,-0.0052545,-0.0076558,-0.01062896,-0.01445854,-0.01899978,-0.02341148,-0.0263774,-0.0249556
5,4,0,-0.00860398,-0.01397358,-0.0178147,-0.01990062,-0.02113366,-0.0224466,-0.02435698,-0.02584218,-0.02901726,0,-0.00850968,-0.01511714,-0.0202993,-0.02257236,-0.0214016,-0.01720146,-0.01276118,-0.00835106,-0.00638696
6,0,0,-0.00555402,-0.01255074,-0.01863498,-0.02183092,-0.02167574,-0.01761224,-0.01202078,-0.00340794,0.00656694,0,0.00453312,0.00952078,0.014247,0.01933518,0.02426614,0.02895372,0.03156744,0.03355492,0.0344201
7,3,0,-0.01273758,-0.02618034,-0.04211416,-0.05830524,-0.0775431,-0.09666774,-0.1139195,-0.12549912,-0.1310414,0,-0.0083141,-0.0167208,-0.0278676,-0.03973282,-0.05239772,-0.06264596,-0.07068738,-0.07364542,-0.07322522
8,1,0,0.01780968,0.03509846,0.04875088,0.05826478,0.06192984,0.05910528,0.04935764,0.03538436,0.01860462,0,0.00822858,0.02180004,0.03601878,0.05010114,0.06203902,0.07054402,0.0734409,0.07348982,0.06944214
9,4,0,0.00246164,0.00112,-0.00349118,-0.01252954,-0.02696304,-0.04528696,-0.0643328,-0.0832593,-0.09847066,0,-0.00813922,-0.01428352,-0.01805552,-0.01823738,-0.01367272,-0.00604944,0.0048333,0.01650988,0.0264689
10,4,0,0.015913,0.02542078,0.0275028,0.02370872,0.01245292,-0.00507872,-0.02292266,-0.03853726,-0.05125014,0,0.0053557,0.00446792,-0.00255942,-0.01447644,-0.02654854,-0.03842822,-0.04951838,-0.05893462,-0.06660702
