Scenario - Repriduction_2015
Logfile written - 10/03/2015 16:03:56

Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

2	Picture	Pic 19	150329	0	1	100164	2	0	next	other	0
4	Picture	Pic 5	400656	0	1	100164	3	0	next	other	0
6	Picture	Pic 12	650983	0	2	100165	3	0	next	other	0
8	Picture	Pic 11	901311	0	1	100164	2	0	next	other	0
10	Picture	Pic 3	1151638	0	1	100164	2	0	next	other	0
12	Picture	Pic 7	1401965	0	1	100164	3	0	next	other	0
14	Picture	Pic 16	1652292	0	2	100165	3	0	next	other	0
16	Picture	Pic 15	1902620	0	1	100164	2	0	next	other	0
18	Picture	Pic 21	2152947	0	1	100164	2	0	next	other	0
20	Picture	Pic 13	2403274	0	1	100164	3	0	next	other	0
22	Picture	Pic 25	2653601	0	2	100165	3	0	next	other	0
24	Picture	Pic 6	2903929	0	1	100164	2	0	next	other	0
26	Picture	Pic 20	3154256	0	1	100164	2	0	next	other	0
28	Picture	Pic 10	3404583	0	1	100164	2	0	next	other	0
30	Picture	Pic 9	3654910	0	1	100165	2	0	next	other	0
32	Picture	Pic 4	3905238	0	1	100164	2	0	next	other	0
34	Picture	Pic 1	4155565	0	1	100164	2	0	next	other	0
36	Picture	Pic 14	4406059	0	1	100164	2	0	next	other	0
38	Picture	Pic 17	4656553	0	1	100164	2	0	next	other	0
40	Picture	Pic 22	4906880	0	1	100164	2	0	next	other	0
42	Picture	Pic 2	5157374	0	1	100164	2	0	next	other	0
44	Picture	Pic 8	5407701	0	1	100164	2	0	next	other	0
46	Picture	Pic 18	5658028	0	1	100164	3	0	next	other	0
48	Picture	Pic 23	5908355	0	2	100165	3	0	next	other	0
50	Picture	Pic 24	6158683	0	1	100164	2	0	next	other	0


Event Type	Code	Type	Response	RT	RT Uncertainty	Time	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur

Picture	Pic 19	other				150329	1	100164	2	0	next
Picture	Pic 5	other				400656	1	100164	3	0	next
Picture	Pic 12	other				650983	2	100165	3	0	next
Picture	Pic 11	other				901311	1	100164	2	0	next
Picture	Pic 3	other				1151638	1	100164	2	0	next
Picture	Pic 7	other				1401965	1	100164	3	0	next
Picture	Pic 16	other				1652292	2	100165	3	0	next
Picture	Pic 15	other				1902620	1	100164	2	0	next
Picture	Pic 21	other				2152947	1	100164	2	0	next
Picture	Pic 13	other				2403274	1	100164	3	0	next
Picture	Pic 25	other				2653601	2	100165	3	0	next
Picture	Pic 6	other				2903929	1	100164	2	0	next
Picture	Pic 20	other				3154256	1	100164	2	0	next
Picture	Pic 10	other				3404583	1	100164	2	0	next
Picture	Pic 9	other				3654910	1	100165	2	0	next
Picture	Pic 4	other				3905238	1	100164	2	0	next
Picture	Pic 1	other				4155565	1	100164	2	0	next
Picture	Pic 14	other				4406059	1	100164	2	0	next
Picture	Pic 17	other				4656553	1	100164	2	0	next
Picture	Pic 22	other				4906880	1	100164	2	0	next
Picture	Pic 2	other				5157374	1	100164	2	0	next
Picture	Pic 8	other				5407701	1	100164	2	0	next
Picture	Pic 18	other				5658028	1	100164	3	0	next
Picture	Pic 23	other				5908355	2	100165	3	0	next
Picture	Pic 24	other				6158683	1	100164	2	0	next
