Scenario - Repriduction_2015
Logfile written - 09/29/2015 15:54:11

Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

2	Picture	Pic 1	150327	0	1	100163	2	0	next	other	0
4	Picture	Pic 2	400651	0	1	100163	2	0	next	other	0
6	Picture	Pic 3	650975	0	2	100163	4	0	next	other	0
8	Picture	Pic 4	901300	0	1	100163	2	0	next	other	0
10	Picture	Pic 5	1151624	0	1	100163	2	0	next	other	0
12	Picture	Pic 6	1401948	0	1	100163	2	0	next	other	0
14	Picture	Pic 7	1652272	0	1	100163	2	0	next	other	0
16	Picture	Pic 8	1902596	0	1	100163	2	0	next	other	0
18	Picture	Pic 9	2152920	0	1	100163	2	0	next	other	0
20	Picture	Pic 10	2403244	0	2	100163	4	0	next	other	0
22	Picture	Pic 11	2653569	0	1	100163	2	0	next	other	0
24	Picture	Pic 12	2903893	0	1	100163	2	0	next	other	0
26	Picture	Pic 13	3154217	0	1	100163	2	0	next	other	0
28	Picture	Pic 14	3404708	0	1	100163	2	0	next	other	0
30	Picture	Pic 15	3655032	0	1	100163	2	0	next	other	0
32	Picture	Pic 16	3905356	0	1	100163	2	0	next	other	0
34	Picture	Pic 17	4155680	0	1	100163	2	0	next	other	0
36	Picture	Pic 18	4406004	0	2	100163	4	0	next	other	0
38	Picture	Pic 19	4656328	0	2	100163	4	0	next	other	0
40	Picture	Pic 20	4906653	0	1	100163	2	0	next	other	0
42	Picture	Pic 21	5156977	0	1	100163	2	0	next	other	0
44	Picture	Pic 22	5407301	0	1	100163	2	0	next	other	0
46	Picture	Pic 23	5657625	0	1	100163	2	0	next	other	0
48	Picture	Pic 24	5907949	0	1	100163	2	0	next	other	0
50	Picture	Pic 25	6158273	0	2	100163	4	0	next	other	0


Event Type	Code	Type	Response	RT	RT Uncertainty	Time	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur

Picture	Pic 1	other				150327	1	100163	2	0	next
Picture	Pic 2	other				400651	1	100163	2	0	next
Picture	Pic 3	other				650975	2	100163	4	0	next
Picture	Pic 4	other				901300	1	100163	2	0	next
Picture	Pic 5	other				1151624	1	100163	2	0	next
Picture	Pic 6	other				1401948	1	100163	2	0	next
Picture	Pic 7	other				1652272	1	100163	2	0	next
Picture	Pic 8	other				1902596	1	100163	2	0	next
Picture	Pic 9	other				2152920	1	100163	2	0	next
Picture	Pic 10	other				2403244	2	100163	4	0	next
Picture	Pic 11	other				2653569	1	100163	2	0	next
Picture	Pic 12	other				2903893	1	100163	2	0	next
Picture	Pic 13	other				3154217	1	100163	2	0	next
Picture	Pic 14	other				3404708	1	100163	2	0	next
Picture	Pic 15	other				3655032	1	100163	2	0	next
Picture	Pic 16	other				3905356	1	100163	2	0	next
Picture	Pic 17	other				4155680	1	100163	2	0	next
Picture	Pic 18	other				4406004	2	100163	4	0	next
Picture	Pic 19	other				4656328	2	100163	4	0	next
Picture	Pic 20	other				4906653	1	100163	2	0	next
Picture	Pic 21	other				5156977	1	100163	2	0	next
Picture	Pic 22	other				5407301	1	100163	2	0	next
Picture	Pic 23	other				5657625	1	100163	2	0	next
Picture	Pic 24	other				5907949	1	100163	2	0	next
Picture	Pic 25	other				6158273	2	100163	4	0	next
