Scenario - Repriduction_2015
Logfile written - 06/22/2015 15:29:39

Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

2	Picture	Pic 10	150326	0	2	100163	3	0	next	other	0
4	Picture	Pic 9	400650	0	1	100162	3	0	next	other	0
6	Picture	Pic 23	650973	0	1	100163	2	0	next	other	0
8	Picture	Pic 15	901463	0	1	100163	2	0	next	other	0
10	Picture	Pic 21	1151786	0	1	100163	2	0	next	other	0
12	Picture	Pic 1	1402109	0	2	100163	3	0	next	other	0
14	Picture	Pic 12	1652599	0	1	100163	2	0	next	other	0
16	Picture	Pic 8	1902922	0	2	100163	3	0	next	other	0
18	Picture	Pic 2	2153246	0	1	100162	2	0	next	other	0
20	Picture	Pic 14	2403569	0	1	100163	2	0	next	other	0
22	Picture	Pic 4	2654059	0	1	100162	3	0	next	other	0
24	Picture	Pic 20	2904382	0	1	100163	2	0	next	other	0
26	Picture	Pic 25	3154705	0	1	100163	2	0	next	other	0
28	Picture	Pic 18	3405195	0	1	100163	2	0	next	other	0
30	Picture	Pic 16	3655685	0	1	100163	2	0	next	other	0
32	Picture	Pic 3	3906175	0	1	100162	3	0	next	other	0
34	Picture	Pic 22	4156665	0	1	100162	3	0	next	other	0
36	Picture	Pic 24	4407155	0	1	100162	2	0	next	other	0
38	Picture	Pic 17	4657478	0	1	100163	2	0	next	other	0
40	Picture	Pic 13	4907968	0	1	100162	3	0	next	other	0
42	Picture	Pic 19	5158291	0	1	100163	2	0	next	other	0
44	Picture	Pic 11	5408781	0	1	100163	2	0	next	other	0
46	Picture	Pic 6	5659104	0	1	100163	2	0	next	other	0
48	Picture	Pic 5	5909427	0	2	100163	3	0	next	other	0
50	Picture	Pic 7	6159751	0	1	100162	2	0	next	other	0


Event Type	Code	Type	Response	RT	RT Uncertainty	Time	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur

Picture	Pic 10	other				150326	2	100163	3	0	next
Picture	Pic 9	other				400650	1	100162	3	0	next
Picture	Pic 23	other				650973	1	100163	2	0	next
Picture	Pic 15	other				901463	1	100163	2	0	next
Picture	Pic 21	other				1151786	1	100163	2	0	next
Picture	Pic 1	other				1402109	2	100163	3	0	next
Picture	Pic 12	other				1652599	1	100163	2	0	next
Picture	Pic 8	other				1902922	2	100163	3	0	next
Picture	Pic 2	other				2153246	1	100162	2	0	next
Picture	Pic 14	other				2403569	1	100163	2	0	next
Picture	Pic 4	other				2654059	1	100162	3	0	next
Picture	Pic 20	other				2904382	1	100163	2	0	next
Picture	Pic 25	other				3154705	1	100163	2	0	next
Picture	Pic 18	other				3405195	1	100163	2	0	next
Picture	Pic 16	other				3655685	1	100163	2	0	next
Picture	Pic 3	other				3906175	1	100162	3	0	next
Picture	Pic 22	other				4156665	1	100162	3	0	next
Picture	Pic 24	other				4407155	1	100162	2	0	next
Picture	Pic 17	other				4657478	1	100163	2	0	next
Picture	Pic 13	other				4907968	1	100162	3	0	next
Picture	Pic 19	other				5158291	1	100163	2	0	next
Picture	Pic 11	other				5408781	1	100163	2	0	next
Picture	Pic 6	other				5659104	1	100163	2	0	next
Picture	Pic 5	other				5909427	2	100163	3	0	next
Picture	Pic 7	other				6159751	1	100162	2	0	next
