Scenario - Repriduction_2015
Logfile written - 10/19/2015 16:17:54

Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

2	Picture	Pic 19	150327	0	1	100163	2	0	next	other	0
4	Picture	Pic 5	400651	0	1	100163	2	0	next	other	0
6	Picture	Pic 12	650975	0	2	100163	4	0	next	other	0
8	Picture	Pic 11	901300	0	1	100163	2	0	next	other	0
10	Picture	Pic 3	1151624	0	1	100163	2	0	next	other	0
12	Picture	Pic 7	1401948	0	1	100163	2	0	next	other	0
14	Picture	Pic 16	1652272	0	1	100163	2	0	next	other	0
16	Picture	Pic 15	1902596	0	1	100163	2	0	next	other	0
18	Picture	Pic 21	2152920	0	1	100163	3	0	next	other	0
20	Picture	Pic 13	2403244	0	2	100163	4	0	next	other	0
22	Picture	Pic 25	2653569	0	1	100163	2	0	next	other	0
24	Picture	Pic 6	2903893	0	1	100163	2	0	next	other	0
26	Picture	Pic 20	3154217	0	1	100163	2	0	next	other	0
28	Picture	Pic 10	3404541	0	1	100163	2	0	next	other	0
30	Picture	Pic 9	3654865	0	1	100163	2	0	next	other	0
32	Picture	Pic 4	3905189	0	2	100163	3	0	next	other	0
34	Picture	Pic 1	4155514	0	1	100163	2	0	next	other	0
36	Picture	Pic 14	4405838	0	1	100163	2	0	next	other	0
38	Picture	Pic 17	4656162	0	1	100163	2	0	next	other	0
40	Picture	Pic 22	4906486	0	1	100163	2	0	next	other	0
42	Picture	Pic 2	5156810	0	1	100163	2	0	next	other	0
44	Picture	Pic 8	5407134	0	1	100163	2	0	next	other	0
46	Picture	Pic 18	5657458	0	2	100163	4	0	next	other	0
48	Picture	Pic 23	5907783	0	1	100163	2	0	next	other	0
50	Picture	Pic 24	6158107	0	1	100163	2	0	next	other	0


Event Type	Code	Type	Response	RT	RT Uncertainty	Time	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur

Picture	Pic 19	other				150327	1	100163	2	0	next
Picture	Pic 5	other				400651	1	100163	2	0	next
Picture	Pic 12	other				650975	2	100163	4	0	next
Picture	Pic 11	other				901300	1	100163	2	0	next
Picture	Pic 3	other				1151624	1	100163	2	0	next
Picture	Pic 7	other				1401948	1	100163	2	0	next
Picture	Pic 16	other				1652272	1	100163	2	0	next
Picture	Pic 15	other				1902596	1	100163	2	0	next
Picture	Pic 21	other				2152920	1	100163	3	0	next
Picture	Pic 13	other				2403244	2	100163	4	0	next
Picture	Pic 25	other				2653569	1	100163	2	0	next
Picture	Pic 6	other				2903893	1	100163	2	0	next
Picture	Pic 20	other				3154217	1	100163	2	0	next
Picture	Pic 10	other				3404541	1	100163	2	0	next
Picture	Pic 9	other				3654865	1	100163	2	0	next
Picture	Pic 4	other				3905189	2	100163	3	0	next
Picture	Pic 1	other				4155514	1	100163	2	0	next
Picture	Pic 14	other				4405838	1	100163	2	0	next
Picture	Pic 17	other				4656162	1	100163	2	0	next
Picture	Pic 22	other				4906486	1	100163	2	0	next
Picture	Pic 2	other				5156810	1	100163	2	0	next
Picture	Pic 8	other				5407134	1	100163	2	0	next
Picture	Pic 18	other				5657458	2	100163	4	0	next
Picture	Pic 23	other				5907783	1	100163	2	0	next
Picture	Pic 24	other				6158107	1	100163	2	0	next
