Scenario - Repriduction_2015
Logfile written - 10/29/2015 17:06:55

Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

2	Picture	Pic 1	140328	0	2	100164	3	0	next	other	0
4	Picture	Pic 2	390655	0	1	100163	3	0	next	other	0
6	Picture	Pic 3	640981	0	1	100164	2	0	next	other	0
8	Picture	Pic 4	891307	0	1	100164	2	0	next	other	0
10	Picture	Pic 5	1141633	0	1	100164	2	0	next	other	0
12	Picture	Pic 6	1391959	0	2	100164	3	0	next	other	0
14	Picture	Pic 7	1642286	0	1	100163	3	0	next	other	0
16	Picture	Pic 8	1892612	0	1	100164	2	0	next	other	0
18	Picture	Pic 9	2142938	0	1	100164	2	0	next	other	0
20	Picture	Pic 10	2393264	0	1	100164	2	0	next	other	0
22	Picture	Pic 11	2643590	0	2	100164	3	0	next	other	0
24	Picture	Pic 12	2893917	0	1	100163	3	0	next	other	0
26	Picture	Pic 13	3144243	0	1	100164	2	0	next	other	0
28	Picture	Pic 14	3394569	0	1	100164	2	0	next	other	0
30	Picture	Pic 15	3644895	0	1	100164	2	0	next	other	0
32	Picture	Pic 16	3895222	0	1	100163	2	0	next	other	0
34	Picture	Pic 17	4145548	0	1	100163	3	0	next	other	0
36	Picture	Pic 18	4395874	0	1	100164	2	0	next	other	0
38	Picture	Pic 19	4646200	0	1	100164	2	0	next	other	0
40	Picture	Pic 20	4896526	0	2	100164	3	0	next	other	0
42	Picture	Pic 21	5146853	0	1	100163	3	0	next	other	0
44	Picture	Pic 22	5397179	0	1	100164	2	0	next	other	0
46	Picture	Pic 23	5647505	0	1	100164	2	0	next	other	0
48	Picture	Pic 24	5897831	0	1	100164	2	0	next	other	0
50	Picture	Pic 25	6148157	0	2	100164	3	0	next	other	0
