Scenario - Repriduction_2015
Logfile written - 06/23/2015 13:57:14

Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

2	Picture	Pic 19	150328	0	1	100164	2	0	next	other	0
4	Picture	Pic 5	400654	0	1	100164	2	0	next	other	0
6	Picture	Pic 12	650980	0	1	100164	2	0	next	other	0
8	Picture	Pic 11	901306	0	1	100164	2	0	next	other	0
10	Picture	Pic 3	1151632	0	1	100164	2	0	next	other	0
12	Picture	Pic 7	1401958	0	1	100164	2	0	next	other	0
14	Picture	Pic 16	1652284	0	1	100164	2	0	next	other	0
16	Picture	Pic 15	1902610	0	1	100164	2	0	next	other	0
18	Picture	Pic 21	2152936	0	1	100164	2	0	next	other	0
20	Picture	Pic 13	2403262	0	1	100164	2	0	next	other	0
22	Picture	Pic 25	2653588	0	1	100164	2	0	next	other	0
24	Picture	Pic 6	2903914	0	1	100164	2	0	next	other	0
26	Picture	Pic 20	3154240	0	2	100164	3	0	next	other	0
28	Picture	Pic 10	3404566	0	2	100164	3	0	next	other	0
30	Picture	Pic 9	3654892	0	2	100164	3	0	next	other	0
32	Picture	Pic 4	3905219	0	1	100163	2	0	next	other	0
34	Picture	Pic 1	4155545	0	1	100163	2	0	next	other	0
36	Picture	Pic 14	4405871	0	1	100163	2	0	next	other	0
38	Picture	Pic 17	4656197	0	1	100163	2	0	next	other	0
40	Picture	Pic 22	4906523	0	1	100163	2	0	next	other	0
42	Picture	Pic 2	5156849	0	1	100163	2	0	next	other	0
44	Picture	Pic 8	5407175	0	1	100163	2	0	next	other	0
46	Picture	Pic 18	5657501	0	1	100163	2	0	next	other	0
48	Picture	Pic 23	5907827	0	1	100163	2	0	next	other	0
50	Picture	Pic 24	6158153	0	1	100163	2	0	next	other	0


Event Type	Code	Type	Response	RT	RT Uncertainty	Time	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur

Picture	Pic 19	other				150328	1	100164	2	0	next
Picture	Pic 5	other				400654	1	100164	2	0	next
Picture	Pic 12	other				650980	1	100164	2	0	next
Picture	Pic 11	other				901306	1	100164	2	0	next
Picture	Pic 3	other				1151632	1	100164	2	0	next
Picture	Pic 7	other				1401958	1	100164	2	0	next
Picture	Pic 16	other				1652284	1	100164	2	0	next
Picture	Pic 15	other				1902610	1	100164	2	0	next
Picture	Pic 21	other				2152936	1	100164	2	0	next
Picture	Pic 13	other				2403262	1	100164	2	0	next
Picture	Pic 25	other				2653588	1	100164	2	0	next
Picture	Pic 6	other				2903914	1	100164	2	0	next
Picture	Pic 20	other				3154240	2	100164	3	0	next
Picture	Pic 10	other				3404566	2	100164	3	0	next
Picture	Pic 9	other				3654892	2	100164	3	0	next
Picture	Pic 4	other				3905219	1	100163	2	0	next
Picture	Pic 1	other				4155545	1	100163	2	0	next
Picture	Pic 14	other				4405871	1	100163	2	0	next
Picture	Pic 17	other				4656197	1	100163	2	0	next
Picture	Pic 22	other				4906523	1	100163	2	0	next
Picture	Pic 2	other				5156849	1	100163	2	0	next
Picture	Pic 8	other				5407175	1	100163	2	0	next
Picture	Pic 18	other				5657501	1	100163	2	0	next
Picture	Pic 23	other				5907827	1	100163	2	0	next
Picture	Pic 24	other				6158153	1	100163	2	0	next
