session,order,picture_id,level,answer
1,1,1,Low Pleasant,8
1,2,2,High Pleasant,8
1,3,3,Low Unpleasant,3
1,4,4,High Unpleasant,2
1,5,5,Nautral,10
1,6,6,Low Pleasant,2
1,7,7,High Unpleasant,9
1,8,8,Low Unpleasant,4
1,9,9,High Pleasant,7
1,10,10,Nautral,9
1,11,11,High Unpleasant,3
1,12,12,High Pleasant,2
1,13,13,Low Unpleasant,9
1,14,14,Nautral,9
1,15,15,Low Pleasant,1
1,16,16,Low Unpleasant,10
1,17,17,Low Pleasant,1
1,18,18,Nautral,7
1,19,19,High Unpleasant,5
1,20,20,High Pleasant,8
1,21,21,Low Unpleasant,9
1,22,22,Nautral,9
1,23,23,High Unpleasant,3
1,24,24,Low Pleasant,4
1,25,25,High Pleasant,5
2,1,1,Low Pleasant,10
2,2,2,High Pleasant,8
2,3,3,Low Unpleasant,3
2,4,4,High Unpleasant,1
2,5,5,Nautral,10
2,6,6,Low Pleasant,1
2,7,7,High Unpleasant,8
2,8,8,Low Unpleasant,3
2,9,9,High Pleasant,10
2,10,10,Nautral,10
2,11,11,High Unpleasant,6
2,12,12,High Pleasant,1
2,13,13,Low Unpleasant,6
2,14,14,Nautral,6
2,15,15,Low Pleasant,2
2,16,16,Low Unpleasant,4
2,17,17,Low Pleasant,1
2,18,18,Nautral,6
2,19,19,High Unpleasant,1
2,20,20,High Pleasant,9
2,21,21,Low Unpleasant,6
2,22,22,Nautral,7
2,23,23,High Unpleasant,2
2,24,24,Low Pleasant,6
2,25,25,High Pleasant,5
3,1,1,Low Pleasant,6
3,2,2,High Pleasant,6
3,3,3,Low Unpleasant,3
3,4,4,High Unpleasant,1
3,5,5,Nautral,10
3,6,6,Low Pleasant,2
3,7,7,High Unpleasant,10
3,8,8,Low Unpleasant,1
3,9,9,High Pleasant,8
3,10,10,Nautral,8
3,11,11,High Unpleasant,9
3,12,12,High Pleasant,2
3,13,13,Low Unpleasant,9
3,14,14,Nautral,2
3,15,15,Low Pleasant,1
3,16,16,Low Unpleasant,10
3,17,17,Low Pleasant,1
3,18,18,Nautral,4
3,19,19,High Unpleasant,4
3,20,20,High Pleasant,6
3,21,21,Low Unpleasant,5
3,22,22,Nautral,10
3,23,23,High Unpleasant,4
3,24,24,Low Pleasant,7
3,25,25,High Pleasant,2
4,1,1,Low Pleasant,7
4,2,2,High Pleasant,7
4,3,3,Low Unpleasant,5
4,4,4,High Unpleasant,2
4,5,5,Nautral,2
4,6,6,Low Pleasant,1
4,7,7,High Unpleasant,9
4,8,8,Low Unpleasant,3
4,9,9,High Pleasant,3
4,10,10,Nautral,1
4,11,11,High Unpleasant,3
4,12,12,High Pleasant,1
4,13,13,Low Unpleasant,10
4,14,14,Nautral,6
4,15,15,Low Pleasant,2
4,16,16,Low Unpleasant,8
4,17,17,Low Pleasant,2
4,18,18,Nautral,3
4,19,19,High Unpleasant,2
4,20,20,High Pleasant,5
4,21,21,Low Unpleasant,8
4,22,22,Nautral,9
4,23,23,High Unpleasant,3
4,24,24,Low Pleasant,6
4,25,25,High Pleasant,5
