Time,TotalHb_Left,TotalHb_Left_1cm,TotalHb_Left_3cm,TotalHb_Right,TotalHb_Right_1cm,TotalHb_Right_3cm,HR_Left,HR_Right,LF/HF_Left,LF/HF_Right,TemperatureC,Slope_X,Slope_Y,Slope_Z,DeepBreath,Chart_X,Chart_Y,Chart_Quadrant,Chart_Radius,Mark
0.0,0.0,-0.344699,-0.262031,0.0,0.209583,0.053961,0.0,0.0,0.0,0.0,27.375,10.271553,0.0,-1.170405,0.0,0.0,-100.0,4.0,100.0,0.0
0.1,-0.017701,-0.463512,-0.411225,-0.239742,0.217218,0.046596,78.0,76.923077,0.0,0.0,27.375,10.231445,0.0,-1.632924,0.0,0.0,7.0,1.0,97.0,0.0
0.2,0.041527,-0.512014,-0.333631,-0.239742,0.217218,0.178346,71.8125,76.923077,0.0,0.0,27.375,10.497261,0.0,-1.622524,0.0,0.0,-23.0,4.0,108.0,1.0
0.3,0.05085,-0.544815,-0.392524,-0.193937,0.217218,0.138205,68.463235,79.9509,0.0,0.0,27.375,9.923401,0.0,-2.110425,0.0,0.0,-40.0,4.0,110.0,0.0
0.4,0.035654,-0.536089,-0.464602,-0.208573,0.232524,0.068725,66.347426,80.573327,0.0,0.0,27.375,10.247414,0.0,-2.758988,0.0,0.0,-50.0,4.0,107.0,0.0
0.5,0.022943,-0.522971,-0.471522,-0.216483,0.253006,0.093429,65.077941,82.652218,0.0,0.0,27.375,10.690102,0.0,-2.766021,0.0,0.0,-56.0,4.0,104.0,0.0
0.6,0.027191,-0.472366,-0.352552,-0.199375,0.263278,0.216273,66.731618,82.717519,0.0,0.0,27.375,11.669464,0.0,-3.416179,0.0,0.0,-48.0,4.0,105.0,0.0
0.7,0.024505,-0.328794,-0.271637,-0.193159,0.258139,0.178346,69.579482,82.392804,0.0,0.0,27.25,13.143547,0.0,-3.798989,0.0,0.0,-34.0,4.0,104.0,0.0
0.8,0.008709,-0.220669,-0.290794,-0.20108,0.23508,0.061338,69.933771,82.160865,0.0,0.0,27.25,14.082687,0.0,-3.768965,0.0,0.0,-32.0,4.0,101.0,0.0
0.9,0.00201,-0.133873,-0.167391,-0.197248,0.209583,0.105827,71.465677,82.047007,0.0,0.0,27.375,13.544868,0.0,-3.382499,0.0,0.0,-25.0,4.0,100.0,0.0
1.0,0.000905,-0.043136,-0.048396,-0.197248,0.191811,0.145707,72.56911,82.047007,0.0,0.0,27.25,13.066826,0.0,-3.173404,0.0,0.0,-19.0,4.0,100.0,1.0
1.1,-0.000143,0.012596,-0.003033,-0.188899,0.19942,0.140705,73.993308,82.872193,0.0,0.0,27.375,12.874649,0.0,-2.707131,0.0,0.0,-12.0,4.0,100.0,0.0
1.2,-0.010403,0.012596,-0.115679,-0.194261,0.204499,0.027007,75.519507,83.473863,0.0,0.0,27.375,12.586021,0.0,-2.96271,0.0,0.0,-4.0,4.0,98.0,0.0
1.3,-0.012178,-0.014136,-0.048396,-0.191642,0.209583,0.110794,75.94732,83.752463,0.0,0.0,27.375,13.359901,0.0,-3.581131,0.0,0.0,-2.0,4.0,98.0,0.0
1.4,-0.00748,-0.021402,0.032536,-0.181515,0.209583,0.206131,76.194781,83.915948,0.0,0.0,27.375,13.550941,0.0,-3.826747,0.0,0.0,-1.0,4.0,99.0,0.0
