Time,TotalHb_Left,TotalHb_Left_1cm,TotalHb_Left_3cm,TotalHb_Right,TotalHb_Right_1cm,TotalHb_Right_3cm,HR_Left,HR_Right,LF/HF_Left,LF/HF_Right,TemperatureC,Slope_X,Slope_Y,Slope_Z,DeepBreath,Chart_X,Chart_Y,Chart_Quadrant,Chart_Radius,Mark
0.0,0.0,-0.117007,-0.034973,0.0,-0.075245,-0.1897,0.0,0.0,0.0,0.0,29.375,2.809807,0.0,-0.138545,0.0,0.0,-100.0,4.0,100.0,0.0
0.1,0.317349,-0.119241,-0.079265,-0.044089,-0.079789,-0.187503,73.469388,73.333333,0.0,0.0,29.375,2.70768,0.0,0.057851,0.0,0.0,34.0,1.0,163.0,0.0
0.2,0.340903,-0.103584,0.019699,-0.042784,-0.077518,-0.180909,72.189239,79.52381,0.0,0.0,29.5,3.015045,0.0,-0.150225,0.0,0.0,27.0,1.0,168.0,0.0
0.3,0.36065,-0.094616,0.085093,-0.038085,-0.079789,-0.172102,72.039203,81.587302,0.0,0.0,29.375,2.99057,0.0,0.294835,0.0,0.0,26.0,1.0,172.0,0.0
0.4,0.366101,-0.094616,0.067403,-0.036599,-0.086596,-0.187503,70.245618,83.690476,0.0,0.0,29.5,3.303658,0.0,0.472084,0.0,0.0,17.0,1.0,173.0,0.0
0.5,0.365344,-0.094616,0.047262,-0.036831,-0.093394,-0.205047,68.196495,85.319728,0.0,0.0,29.5,3.380592,0.0,0.720294,0.0,0.0,7.0,1.0,173.0,0.0
0.6,0.354846,-0.099102,-0.027553,-0.04058,-0.104704,-0.246469,67.544698,86.655329,0.0,0.0,29.5,3.173752,0.0,0.730492,0.0,0.0,4.0,1.0,170.0,0.0
0.7,0.341072,-0.1103,-0.108576,-0.047171,-0.113733,-0.289703,67.862233,84.990282,0.0,0.0,29.5,3.084915,0.0,0.706929,0.0,0.0,5.0,1.0,168.0,0.0
0.8,0.327704,-0.1103,-0.132871,-0.050318,-0.118242,-0.283242,68.100384,83.394274,0.0,0.0,29.375,2.685989,0.0,0.895569,0.0,0.0,7.0,1.0,165.0,0.0
0.9,0.327112,-0.090125,0.022199,-0.049473,-0.109221,-0.237777,67.723217,82.304345,0.0,0.0,29.375,2.883186,0.0,1.111528,0.0,0.0,5.0,1.0,165.0,0.0
1.0,0.329178,-0.083382,0.069926,-0.04745,-0.106963,-0.220348,67.550895,81.57391,0.0,0.0,29.5,2.781548,0.0,1.316317,0.0,0.0,4.0,1.0,165.0,0.0
1.1,0.329274,-0.081132,0.05984,-0.046155,-0.104704,-0.220348,67.360318,81.272725,0.0,0.0,29.375,2.792168,0.0,1.089119,0.0,0.0,3.0,1.0,165.0,0.0
1.2,0.326222,-0.078882,0.029704,-0.046496,-0.102444,-0.233425,67.302514,81.103771,0.0,0.0,29.5,2.685989,0.0,0.895569,0.0,0.0,3.0,1.0,165.0,0.0
1.3,0.321716,-0.085631,-0.017642,-0.047041,-0.109221,-0.24864,67.619903,81.247998,0.0,0.0,29.5,2.617821,0.0,0.419789,0.0,0.0,4.0,1.0,164.0,0.0
1.4,0.31541,-0.096859,-0.089054,-0.048694,-0.118242,-0.281086,68.284415,81.50926,0.0,0.0,29.5,2.916969,0.0,0.433557,0.0,0.0,8.0,1.0,163.0,0.0
1.5,0.312557,-0.085631,-0.012679,-0.049334,-0.111477,-0.257313,67.834685,82.741976,0.0,0.0,29.5,2.709045,0.0,0.444501,0.0,0.0,5.0,1.0,162.0,0.0
1.6,0.312308,-0.060839,0.105387,-0.048498,-0.095658,-0.207236,67.03929,83.136106,0.0,0.0,29.5,2.592964,0.0,0.479934,0.0,0.0,1.0,1.0,162.0,0.0
1.7,0.31035,-0.044999,0.128317,-0.047019,-0.086596,-0.178708,66.39365,82.512729,0.0,0.0,29.375,2.490067,0.0,0.292092,0.0,0.0,-1.0,4.0,162.0,0.0
1.8,0.306232,-0.035924,0.115565,-0.046001,-0.079789,-0.172102,66.100837,82.28864,0.0,0.0,29.375,2.193817,0.0,0.278491,0.0,0.0,-2.0,4.0,161.0,0.0
1.9,0.299883,-0.033653,0.072451,-0.04611,-0.077518,-0.187503,66.359846,81.88864,0.0,0.0,29.5,2.352844,0.0,0.771805,0.0,0.0,-1.0,4.0,159.0,0.0
2.0,0.291407,-0.035924,0.009714,-0.047323,-0.079789,-0.213796,67.040697,81.029348,0.0,0.0,29.5,2.545998,0.0,0.983962,0.0,0.0,1.0,1.0,158.0,0.0
2.1,0.283858,-0.035924,0.012209,-0.0479,-0.079789,-0.202858,67.460865,80.261672,0.0,0.0,29.375,2.615265,0.0,1.450393,0.0,0.0,3.0,1.0,156.0,0.0
2.2,0.279089,-0.008602,0.148788,-0.047633,-0.068423,-0.165487,67.515585,81.144025,0.0,0.0,29.375,2.809998,0.0,1.663863,0.0,0.0,4.0,1.0,155.0,0.0
2.3,0.274446,0.007406,0.195156,-0.046833,-0.059311,-0.136719,67.864422,81.783755,0.0,0.0,29.5,2.730034,0.0,1.420341,0.0,0.0,5.0,1.0,154.0,0.0
2.4,0.269241,0.014282,0.195156,-0.046064,-0.054749,-0.127834,68.448656,82.33264,0.0,0.0,29.5,3.162872,0.0,0.954092,0.0,0.0,8.0,1.0,153.0,0.0
2.5,0.263839,0.016576,0.187398,-0.045783,-0.052466,-0.134499,69.146695,82.993018,0.0,0.0,29.5,3.281425,0.0,0.92136,0.0,0.0,12.0,1.0,152.0,0.0
2.6,0.25736,0.011989,0.133427,-0.046507,-0.059311,-0.172102,69.783059,83.637695,0.0,0.0,29.5,3.173752,0.0,0.730492,0.0,0.0,15.0,1.0,151.0,0.0
2.7,0.248639,0.007406,0.04475,-0.048655,-0.06159,-0.215981,70.338614,84.237029,0.0,0.0,29.375,3.084915,0.0,0.706929,0.0,0.0,18.0,1.0,149.0,0.0
2.8,0.242544,0.025763,0.161625,-0.049876,-0.050183,-0.174305,70.465598,84.365492,0.0,0.0,29.375,2.66082,0.0,0.9514,0.0,0.0,18.0,1.0,148.0,0.0
2.9,0.237708,0.041881,0.239347,-0.050791,-0.038749,-0.147803,70.837393,84.523296,0.0,0.0,29.5,2.92939,0.0,1.018635,0.0,0.0,20.0,1.0,147.0,0.0
3.0,0.23382,0.046495,0.273405,-0.0511,-0.034168,-0.123386,71.534829,83.674811,0.0,0.0,29.5,3.349548,0.0,0.777163,0.0,0.0,24.0,1.0,146.0,0.0
3.1,0.229521,0.051114,0.26815,-0.051288,-0.029583,-0.112247,72.56047,84.209974,0.0,0.0,29.5,3.641563,0.0,0.790399,0.0,0.0,29.0,1.0,145.0,0.0
3.2,0.224579,0.046495,0.223705,-0.051882,-0.029583,-0.125611,73.21568,84.981134,0.0,0.0,29.5,3.555191,0.0,0.767182,0.0,0.0,32.0,1.0,144.0,0.0
3.3,0.21844,0.041881,0.159055,-0.053058,-0.031876,-0.150017,73.943275,85.30912,0.0,0.0,29.375,3.203491,0.0,0.672792,0.0,0.0,36.0,1.0,143.0,0.0
3.4,0.21116,0.03727,0.092693,-0.054826,-0.034168,-0.176507,74.693275,85.478351,0.0,0.0,29.5,3.192436,0.0,0.898333,0.0,0.0,40.0,1.0,142.0,0.0
3.5,0.205487,0.06268,0.218502,-0.055971,-0.018102,-0.130057,75.466969,86.077262,0.0,0.0,29.5,3.401215,0.0,0.888315,0.0,0.0,44.0,1.0,141.0,0.0
3.6,0.201105,0.076595,0.299762,-0.056808,-0.006594,-0.101084,76.361087,86.440898,0.0,0.0,29.5,3.69841,0.0,0.901595,0.0,0.0,48.0,1.0,140.0,0.0
3.7,0.197612,0.078918,0.331576,-0.05674,-0.00429,-0.065194,76.918363,85.915688,0.0,0.0,29.5,3.785538,0.0,0.924685,0.0,0.0,51.0,1.0,139.0,0.0
3.8,0.19417,0.081242,0.334236,-0.056532,0.000323,-0.051668,77.009272,86.075178,0.0,0.0,29.5,3.577339,0.0,0.934434,0.0,0.0,51.0,1.0,138.0,0.0
3.9,0.190145,0.076595,0.289203,-0.056728,0.002631,-0.062942,77.111312,86.176188,0.0,0.0,29.5,3.359344,0.0,1.168375,0.0,0.0,52.0,1.0,138.0,0.0
4.0,0.185452,0.067314,0.223705,-0.057385,-0.001984,-0.089896,76.911232,86.230096,0.0,0.0,29.375,3.566971,0.0,1.158914,0.0,0.0,51.0,1.0,137.0,0.0
4.1,0.179972,0.058051,0.151353,-0.058783,-0.00429,-0.125611,76.711232,86.034694,0.0,0.0,29.5,3.566971,0.0,1.158914,0.0,0.0,50.0,1.0,135.0,0.0
4.2,0.175368,0.06268,0.192569,-0.059776,0.000323,-0.103319,76.949328,85.726112,0.0,0.0,29.5,3.785538,0.0,0.924685,0.0,0.0,51.0,1.0,135.0,0.0
4.3,0.172597,0.081242,0.323604,-0.060151,0.011873,-0.058435,77.323597,86.065734,0.0,0.0,29.375,3.882576,0.0,0.7238,0.0,0.0,53.0,1.0,134.0,0.0
4.4,0.170556,0.081242,0.350228,-0.060025,0.0165,-0.029043,76.92998,86.318981,0.0,0.0,29.5,3.772301,0.0,0.534752,0.0,0.0,51.0,1.0,134.0,0.0
4.5,0.168673,0.083567,0.360917,-0.059501,0.0165,-0.01087,77.32998,86.572228,0.0,0.0,29.5,3.686043,0.0,0.510489,0.0,0.0,53.0,1.0,133.0,0.0
