Time,TotalHb_Left,TotalHb_Left_1cm,TotalHb_Left_3cm,TotalHb_Right,TotalHb_Right_1cm,TotalHb_Right_3cm,HR_Left,HR_Right,LF/HF_Left,LF/HF_Right,TemperatureC,Slope_X,Slope_Y,Slope_Z,DeepBreath,Chart_X,Chart_Y,Chart_Quadrant,Chart_Radius,Mark
0.0,0.0,0.008494,-0.159242,0.0,-0.077952,-0.294552,0.0,0.0,0.0,0.0,30.375,-5.845699,0.0,4.731316,0.0,0.0,-100.0,4.0,100.0,0.0
0.1,-0.112113,-0.003879,-0.117028,-0.086096,-0.10168,-0.285306,73.684211,76.271186,0.0,0.0,30.5,-6.168129,0.0,4.290876,0.0,0.0,-56.0,4.0,78.0,0.0
0.2,-0.09854,-0.018686,-0.114673,-0.063973,-0.130528,-0.299169,73.727351,75.020839,0.0,0.0,30.375,-6.661953,0.0,4.51486,0.0,0.0,-55.0,4.0,81.0,0.0
0.3,-0.085962,-0.026074,-0.102877,-0.045993,-0.156611,-0.319892,73.741731,75.013893,0.0,0.0,30.375,-6.850758,0.0,4.729873,0.0,0.0,-55.0,4.0,83.0,0.0
0.4,-0.027803,-0.040816,0.079923,0.007102,-0.174788,-0.180088,74.056299,74.681472,0.0,0.0,30.375,-6.839794,0.0,4.953839,0.0,0.0,-54.0,4.0,95.0,0.0
0.5,-0.018901,-0.02115,-0.01712,0.009277,-0.096416,-0.170627,74.245039,74.48202,0.0,0.0,30.375,-6.22414,0.0,5.159126,0.0,0.0,-53.0,4.0,97.0,0.0
0.6,-0.032465,-0.013755,-0.121736,-0.007832,-0.072663,-0.234142,74.370866,74.56835,0.0,0.0,30.375,-5.824253,0.0,5.179203,0.0,0.0,-52.0,4.0,94.0,0.0
0.7,-0.049844,-0.013755,-0.175563,-0.026932,-0.075308,-0.287619,74.272772,74.630014,0.0,0.0,30.375,-5.723934,0.0,5.209019,0.0,0.0,-53.0,4.0,91.0,0.0
0.8,-0.055415,-0.00882,-0.107599,-0.032576,-0.083234,-0.234142,74.686951,75.301262,0.0,0.0,30.5,-5.623238,0.0,5.189192,0.0,0.0,-51.0,4.0,89.0,0.0
0.9,-0.061571,-0.018686,-0.140525,-0.039112,-0.099049,-0.285306,74.721735,75.131177,0.0,0.0,30.375,-5.927437,0.0,5.24904,0.0,0.0,-50.0,4.0,88.0,0.0
1.0,-0.061143,-0.030993,-0.107599,-0.039053,-0.125295,-0.285306,74.62661,74.995108,0.0,0.0,30.375,-6.118256,0.0,5.464751,0.0,0.0,-51.0,4.0,88.0,0.0
1.1,-0.045868,-0.043269,0.036021,-0.02578,-0.1488,-0.187172,74.540938,74.875936,0.0,0.0,30.375,-6.015759,0.0,5.444006,0.0,0.0,-51.0,4.0,91.0,0.0
1.2,-0.037284,-0.04817,-0.021923,-0.018052,-0.159212,-0.248148,74.363676,74.670757,0.0,0.0,30.5,-6.015759,0.0,5.444006,0.0,0.0,-52.0,4.0,93.0,0.0
1.3,-0.041629,-0.026074,-0.135834,-0.023057,-0.085873,-0.250478,74.213685,74.594869,0.0,0.0,30.375,-6.114727,0.0,5.412862,0.0,0.0,-53.0,4.0,92.0,0.0
1.4,-0.051994,-0.026074,-0.228817,-0.03398,-0.06737,-0.306086,74.175865,74.535985,0.0,0.0,30.375,-5.947163,0.0,4.749488,0.0,0.0,-53.0,4.0,90.0,0.0
1.5,-0.057857,-0.023612,-0.17789,-0.040424,-0.072663,-0.271404,74.143088,74.566919,0.0,0.0,30.375,-5.967098,0.0,4.299407,0.0,0.0,-53.0,4.0,89.0,0.0
1.6,-0.053599,-0.035907,-0.048258,-0.039247,-0.077952,-0.172994,74.315553,74.566919,0.0,0.0,30.5,-5.783413,0.0,3.856441,0.0,0.0,-52.0,4.0,90.0,0.0
1.7,-0.057194,-0.035907,-0.173235,-0.042062,-0.088511,-0.259789,74.39752,74.566919,0.0,0.0,30.5,-5.285454,0.0,3.630534,0.0,0.0,-52.0,4.0,89.0,0.0
1.8,-0.052533,-0.04572,-0.048258,-0.037686,-0.117436,-0.194245,74.570397,74.566919,0.0,0.0,30.375,-4.974762,0.0,3.848738,0.0,0.0,-51.0,4.0,90.0,0.0
1.9,-0.048072,-0.060404,-0.067324,-0.034052,-0.135756,-0.236479,74.570397,74.654639,0.0,0.0,30.375,-4.673347,0.0,3.840909,0.0,0.0,-51.0,4.0,91.0,0.0
2.0,-0.050357,-0.077482,-0.221903,-0.036542,-0.161811,-0.404196,74.482677,74.654639,0.0,0.0,30.375,-4.373032,0.0,3.83299,0.0,0.0,-52.0,4.0,90.0,0.0
2.1,-0.055606,-0.06773,-0.272385,-0.04334,-0.112189,-0.399675,74.310264,74.482225,0.0,0.0,30.5,-4.576233,0.0,3.825743,0.0,0.0,-52.0,4.0,89.0,0.0
2.2,-0.062052,-0.04572,-0.272385,-0.050865,-0.064721,-0.33366,74.310264,74.482225,0.0,0.0,30.5,-4.681763,0.0,3.80347,0.0,0.0,-52.0,4.0,88.0,0.0
2.3,-0.058446,-0.040816,-0.04587,-0.049098,-0.064721,-0.134989,74.05013,74.148891,0.0,0.0,30.5,-4.761757,0.0,4.265989,0.0,0.0,-54.0,4.0,89.0,0.0
