Time,TotalHb_Left,TotalHb_Left_1cm,TotalHb_Left_3cm,TotalHb_Right,TotalHb_Right_1cm,TotalHb_Right_3cm,HR_Left,HR_Right,LF/HF_Left,LF/HF_Right,TemperatureC,Slope_X,Slope_Y,Slope_Z,DeepBreath,Chart_X,Chart_Y,Chart_Quadrant,Chart_Radius,Mark
0.0,0.0,-0.02018,-0.077877,0.0,0.032118,-0.057581,0.0,0.0,0.0,0.0,30.0,-0.175583,0.0,-0.399129,0.0,0.0,-100.0,4.0,100.0,0.0
0.1,0.038751,-0.024733,-0.021459,-0.066816,0.017695,-0.028426,70.0,72.413793,0.0,0.0,30.0,0.304672,0.0,-0.62081,0.0,0.0,25.0,1.0,107.0,0.0
0.2,0.084719,-0.042907,0.026047,-0.01248,-0.025326,-0.01867,70.59322,71.800117,0.0,0.0,30.0,0.304672,0.0,-0.62081,0.0,0.0,27.0,1.0,116.0,0.0
0.3,0.068116,-0.051969,-0.091883,-0.012968,-0.051436,-0.134506,70.79096,71.595558,0.0,0.0,30.0,0.108047,0.0,-0.409408,0.0,0.0,28.0,1.0,113.0,0.0
0.4,0.043864,-0.065531,-0.188839,-0.024251,-0.07741,-0.238381,71.196669,71.800117,0.0,0.0,30.0,-0.00766,0.0,-0.216474,0.0,0.0,30.0,1.0,108.0,0.0
0.5,0.025445,-0.099277,-0.290675,-0.038574,-0.10325,-0.335561,71.440094,71.677382,0.0,0.0,30.0,-0.209503,0.0,-0.223502,0.0,0.0,32.0,1.0,105.0,0.0
0.6,0.033932,-0.056494,-0.061488,-0.051935,0.012897,-0.091381,72.464446,71.827926,0.0,0.0,30.0,-0.322533,0.0,-0.032869,0.0,0.0,37.0,1.0,106.0,0.0
0.7,0.034034,-0.045174,-0.075539,-0.064246,0.029711,-0.072095,72.45721,71.736285,0.0,0.0,30.0,-0.193733,0.0,0.208696,0.0,0.0,37.0,1.0,106.0,0.0
0.8,0.042187,-0.092546,-0.126726,-0.067529,-0.001471,-0.096191,72.105416,71.990561,0.0,0.0,30.0,-0.55732,0.0,0.239208,0.0,0.0,35.0,1.0,108.0,0.0
0.9,0.064895,-0.126111,-0.061488,-0.06052,-0.006251,-0.021111,72.578551,72.056126,0.0,0.0,30.0,-0.750404,0.0,0.448082,0.0,0.0,37.0,1.0,112.0,0.0
1.0,0.086711,-0.183761,-0.165924,-0.054931,-0.041957,-0.103398,72.689117,72.091892,0.0,0.0,30.0,-0.630684,0.0,0.476311,0.0,0.0,38.0,1.0,117.0,0.0
1.1,0.102636,-0.212339,-0.25696,-0.050029,-0.079765,-0.186713,72.664088,72.121156,0.0,0.0,30.0,-0.475822,0.0,0.220054,0.0,0.0,38.0,1.0,120.0,0.0
1.2,0.106746,-0.205759,-0.350796,-0.050398,-0.110274,-0.310291,72.64323,72.145543,0.0,0.0,30.0,-0.201782,0.0,-0.007329,0.0,0.0,38.0,1.0,121.0,0.0
1.3,0.108982,-0.172726,-0.286193,-0.055047,-0.06562,-0.264016,72.723305,72.166177,0.0,0.0,30.0,-0.201782,0.0,-0.007329,0.0,0.0,38.0,1.0,121.0,0.0
1.4,0.113568,-0.10376,-0.080214,-0.056549,-0.001471,-0.081747,72.798104,72.280771,0.0,0.0,30.0,-0.410774,0.0,-0.230573,0.0,0.0,38.0,1.0,122.0,0.0
1.5,0.113558,-0.117182,-0.17281,-0.058156,-0.034836,-0.16305,72.86293,72.380086,0.0,0.0,30.0,-0.775436,0.0,-0.202655,0.0,0.0,39.0,1.0,122.0,0.0
1.6,0.1177,-0.128341,-0.133666,-0.05733,-0.034836,-0.127344,73.529597,72.5525,0.0,0.0,30.0,-0.693169,0.0,-0.220226,0.0,0.0,42.0,1.0,123.0,0.0
1.7,0.122076,-0.12388,-0.110496,-0.053499,-0.060897,-0.134506,73.701867,72.806737,0.0,0.0,30.0,-0.700768,0.0,-0.436682,0.0,0.0,43.0,1.0,124.0,0.0
1.8,0.125193,-0.148363,-0.184264,-0.048761,-0.10325,-0.207914,73.956104,72.979007,0.0,0.0,30.0,-0.611473,0.0,-0.237685,0.0,0.0,44.0,1.0,125.0,0.0
1.9,0.119409,-0.166093,-0.390479,-0.051159,-0.133617,-0.403837,74.128518,73.151421,0.0,0.0,30.0,-0.530342,0.0,-0.255033,0.0,0.0,45.0,1.0,123.0,0.0
2.0,0.116287,-0.170516,-0.359642,-0.055273,-0.093869,-0.351576,74.213212,73.317939,0.0,0.0,30.0,-0.537773,0.0,-0.469998,0.0,0.0,46.0,1.0,123.0,0.0
2.1,0.121228,-0.117182,-0.066176,-0.053453,-0.022946,-0.072095,73.953079,73.479229,0.0,0.0,30.0,-0.250229,0.0,-0.265306,0.0,0.0,44.0,1.0,124.0,0.0
2.2,0.124591,-0.126111,-0.112818,-0.050343,-0.060897,-0.127344,74.125493,73.733466,0.0,0.0,30.0,-0.322533,0.0,-0.032869,0.0,0.0,45.0,1.0,124.0,0.0
2.3,0.126874,-0.139474,-0.163627,-0.049455,-0.053803,-0.155929,74.573545,73.900179,0.0,0.0,30.0,-0.121902,0.0,-0.025573,0.0,0.0,47.0,1.0,125.0,0.0
2.4,0.127439,-0.139474,-0.200257,-0.047662,-0.07741,-0.186713,75.245348,74.307371,0.0,0.0,30.0,-0.121902,0.0,-0.025573,0.0,0.0,51.0,1.0,125.0,0.0
2.5,0.128133,-0.161667,-0.250189,-0.045223,-0.119624,-0.264016,75.666401,74.564531,0.0,0.0,30.0,-0.402992,0.0,-0.014702,0.0,0.0,53.0,1.0,125.0,0.0
2.6,0.126822,-0.17935,-0.344152,-0.04375,-0.149892,-0.353859,76.121833,74.654977,0.0,0.0,30.0,-0.330223,0.0,-0.247995,0.0,0.0,55.0,1.0,125.0,0.0
