Time,TotalHb_Left,TotalHb_Left_1cm,TotalHb_Left_3cm,TotalHb_Right,TotalHb_Right_1cm,TotalHb_Right_3cm,HR_Left,HR_Right,LF/HF_Left,LF/HF_Right,TemperatureC,Slope_X,Slope_Y,Slope_Z,DeepBreath,Chart_X,Chart_Y,Chart_Quadrant,Chart_Radius,Mark
0.0,0.0,1.653315,1.170966,0.0,0.20538,0.223249,0.0,0.0,0.0,0.0,28.5,7.37973,0.0,0.469799,0.0,0.0,-100.0,4.0,100.0,0.0
0.1,0.161377,1.659812,1.144689,-0.026208,0.195233,0.187235,58.536585,80.0,0.0,0.0,28.5,6.836693,0.0,0.462474,0.0,0.0,-100.0,4.0,132.0,0.0
0.2,0.119872,1.7121,1.092544,-0.051717,0.185106,0.125418,70.934959,77.5,0.0,0.0,28.5,5.7071,0.0,0.692577,0.0,0.0,-100.0,4.0,123.0,0.0
0.3,0.0632,1.689157,0.950489,-0.077521,0.169955,0.057357,74.87618,76.666667,0.0,0.0,28.5,4.193153,0.0,0.687236,0.0,0.0,-100.0,4.0,112.0,0.0
0.4,0.040879,1.705534,0.984216,-0.090066,0.159879,0.048042,77.975317,76.25,0.0,0.0,28.5,2.921501,0.0,0.450996,0.0,0.0,-92.0,4.0,108.0,0.0
0.5,0.055509,1.715387,1.130149,-0.079431,0.185106,0.16575,79.52311,76.555556,0.0,0.0,28.5,3.063751,0.0,0.689041,0.0,0.0,-84.0,4.0,111.0,0.0
0.6,0.0622,1.721966,1.115653,-0.067866,0.200304,0.208812,78.338224,76.296296,0.0,0.0,28.5,3.243706,0.0,0.225027,0.0,0.0,-90.0,4.0,112.0,0.0
0.7,0.073349,1.725258,1.162192,-0.060035,0.20538,0.211216,78.071419,76.111111,0.0,0.0,28.5,3.423553,0.0,0.452617,0.0,0.0,-91.0,4.0,114.0,0.0
0.8,0.096758,1.73185,1.286458,-0.05179,0.20792,0.232897,77.241063,76.641865,0.0,0.0,28.5,3.514908,0.0,0.4581,0.0,0.0,-95.0,4.0,119.0,0.0
0.9,0.110108,1.735149,1.244692,-0.048819,0.20538,0.199211,75.325389,77.730622,0.0,0.0,28.5,3.516396,0.0,-0.002223,0.0,0.0,-100.0,4.0,122.0,0.0
1.0,0.096241,1.738451,1.001166,-0.056343,0.200304,0.094793,74.042851,77.45756,0.0,0.0,28.5,3.289391,0.0,0.458652,0.0,0.0,-100.0,4.0,119.0,0.0
1.1,0.081542,1.748368,0.970136,-0.065131,0.190167,0.055027,72.766228,77.122372,0.0,0.0,28.5,3.336029,0.0,0.232263,0.0,0.0,-100.0,4.0,116.0,0.0
1.2,0.072969,1.754991,1.018172,-0.070479,0.187636,0.07604,72.952375,76.72999,0.0,0.0,28.5,3.47184,0.0,0.242912,0.0,0.0,-100.0,4.0,114.0,0.0
1.3,0.07469,1.781569,1.150516,-0.068764,0.218093,0.189628,74.70563,76.4957,0.0,0.0,28.5,3.515335,0.0,0.697543,0.0,0.0,-100.0,4.0,114.0,0.0
1.4,0.079511,1.781569,1.197382,-0.065969,0.223187,0.21362,75.425414,76.388864,0.0,0.0,28.5,3.559578,0.0,0.699278,0.0,0.0,-100.0,4.0,115.0,0.0
1.5,0.081667,1.788236,1.170966,-0.06471,0.228287,0.20161,75.309334,76.296273,0.0,0.0,28.5,3.339386,0.0,0.699627,0.0,0.0,-100.0,4.0,116.0,0.0
1.6,0.089654,1.798252,1.274489,-0.062707,0.228287,0.216026,76.59208,76.047685,0.0,0.0,28.5,3.064232,0.0,0.459213,0.0,0.0,-99.0,4.0,117.0,0.0
1.7,0.090211,1.794911,1.162192,-0.063978,0.22064,0.156231,76.49107,76.293587,0.0,0.0,28.5,2.792091,0.0,0.226553,0.0,0.0,-99.0,4.0,118.0,0.0
1.8,0.083751,1.801596,1.040938,-0.068048,0.210462,0.092445,75.773828,76.556745,0.0,0.0,28.5,2.744576,0.0,-0.008488,0.0,0.0,-100.0,4.0,116.0,0.0
1.9,0.077118,1.804941,1.026698,-0.072617,0.202842,0.06669,74.661529,76.556745,0.0,0.0,28.5,2.743675,0.0,0.222911,0.0,0.0,-100.0,4.0,115.0,0.0
2.0,0.075398,1.811639,1.115653,-0.075289,0.197768,0.090098,74.185338,76.37156,0.0,0.0,28.5,2.839439,0.0,0.459783,0.0,0.0,-100.0,4.0,115.0,0.0
2.1,0.077636,1.825062,1.203272,-0.074615,0.225736,0.184843,74.246641,76.37156,0.0,0.0,28.375,2.615028,0.0,0.460364,0.0,0.0,-100.0,4.0,115.0,0.0
2.2,0.078289,1.831787,1.176824,-0.073625,0.235946,0.204009,74.148602,76.37156,0.0,0.0,28.5,2.61573,0.0,0.230941,0.0,0.0,-100.0,4.0,115.0,0.0
2.3,0.083956,1.835153,1.295454,-0.071493,0.241058,0.237728,75.100983,76.099163,0.0,0.0,28.5,2.842087,0.0,-0.228968,0.0,0.0,-100.0,4.0,116.0,0.0
2.4,0.088736,1.841891,1.289455,-0.069122,0.238501,0.244983,76.384002,75.421197,0.0,0.0,28.5,2.794075,0.0,-0.234388,0.0,0.0,-100.0,4.0,117.0,0.0
2.5,0.087655,1.838521,1.150516,-0.069334,0.235946,0.182452,77.129616,75.505942,0.0,0.0,28.5,2.792984,0.0,-0.003936,0.0,0.0,-96.0,4.0,117.0,0.0
2.6,0.081961,1.845264,1.032389,-0.071681,0.228287,0.118334,77.267547,75.672655,0.0,0.0,28.5,2.566849,0.0,0.227336,0.0,0.0,-95.0,4.0,116.0,0.0
2.7,0.0807,1.852016,1.144689,-0.073438,0.215548,0.115975,76.405478,75.845069,0.0,0.0,28.5,2.16684,0.0,0.690601,0.0,0.0,-100.0,4.0,116.0,0.0
2.8,0.080894,1.831787,1.170966,-0.074877,0.210462,0.115975,75.477045,75.932788,0.0,0.0,28.5,1.772522,0.0,0.69319,0.0,0.0,-100.0,4.0,116.0,0.0
2.9,0.083481,1.818346,1.232822,-0.07336,0.233391,0.223249,74.408204,76.023697,0.0,0.0,28.5,1.824455,0.0,0.468071,0.0,0.0,-100.0,4.0,116.0,0.0
3.0,0.087385,1.818346,1.277479,-0.070612,0.243616,0.27411,73.895923,76.108443,0.0,0.0,28.5,1.874954,0.0,0.696691,0.0,0.0,-100.0,4.0,117.0,0.0
3.1,0.092718,1.821703,1.331599,-0.06812,0.243616,0.271676,73.472643,76.108443,0.0,0.0,28.5,1.824455,0.0,0.468071,0.0,0.0,-100.0,4.0,118.0,0.0
3.2,0.097086,1.804941,1.30146,-0.066287,0.235946,0.247404,72.72398,75.947287,0.0,0.0,28.5,2.045677,0.0,0.467467,0.0,0.0,-100.0,4.0,119.0,0.0
3.3,0.094982,1.788236,1.086784,-0.06707,0.225736,0.153854,72.539364,75.768875,0.0,0.0,28.5,2.046394,0.0,0.240411,0.0,0.0,-100.0,4.0,118.0,0.0
3.4,0.091602,1.781569,1.035237,-0.069038,0.22064,0.10655,72.448867,75.853621,0.0,0.0,28.5,2.047318,0.0,0.013384,0.0,0.0,-100.0,4.0,118.0,0.0
3.5,0.089917,1.774911,1.083906,-0.070831,0.20538,0.092445,73.710771,75.938367,0.0,0.0,28.5,2.047318,0.0,0.013384,0.0,0.0,-100.0,4.0,117.0,0.0
3.6,0.089639,1.768262,1.127247,-0.072606,0.1927,0.07604,73.994296,75.8564,0.0,0.0,28.5,2.09993,0.0,-0.43444,0.0,0.0,-100.0,4.0,117.0,0.0
3.7,0.089043,1.74506,1.101197,-0.073279,0.213004,0.134878,73.062093,75.947309,0.0,0.0,28.5,2.047318,0.0,0.013384,0.0,0.0,-100.0,4.0,117.0,0.0
3.8,0.091812,1.748368,1.22986,-0.071981,0.235946,0.232897,71.695633,75.947309,0.0,0.0,28.5,1.996742,0.0,0.008981,0.0,0.0,-100.0,4.0,118.0,0.0
3.9,0.092329,1.758305,1.153432,-0.071269,0.243616,0.22084,70.162614,75.862563,0.0,0.0,28.5,1.996742,0.0,0.008981,0.0,0.0,-100.0,4.0,118.0,0.0
4.0,0.091901,1.751678,1.112758,-0.071073,0.243616,0.20161,69.163377,75.862563,0.0,0.0,28.5,1.943573,0.0,0.691007,0.0,0.0,-100.0,4.0,118.0,0.0
4.1,0.087852,1.758305,0.967324,-0.072092,0.238501,0.146729,68.534218,75.862563,0.0,0.0,28.5,1.944099,0.0,0.462162,0.0,0.0,-100.0,4.0,117.0,0.0
4.2,0.085008,1.748368,1.003996,-0.073535,0.228287,0.115975,68.298726,75.953472,0.0,0.0,28.5,1.944099,0.0,0.462162,0.0,0.0,-100.0,4.0,117.0,0.0
4.3,0.084737,1.74506,1.106974,-0.074384,0.218093,0.127781,67.010847,75.953472,0.0,0.0,28.5,1.669037,0.0,0.460104,0.0,0.0,-100.0,4.0,116.0,0.0
4.4,0.082868,1.748368,1.038087,-0.075825,0.197768,0.078381,67.543793,75.780596,0.0,0.0,28.5,1.446541,0.0,0.231441,0.0,0.0,-100.0,4.0,116.0,0.0
4.5,0.081215,1.728553,1.032389,-0.076836,0.197768,0.094793,68.143793,75.69585,0.0,0.0,28.5,1.670761,0.0,0.001116,0.0,0.0,-100.0,4.0,116.0,0.0
4.6,0.080006,1.728553,1.049503,-0.076799,0.223187,0.168133,68.664907,75.69585,0.0,0.0,28.5,1.671951,0.0,-0.228327,0.0,0.0,-100.0,4.0,116.0,0.0
4.7,0.078846,1.738451,1.05522,-0.076676,0.228287,0.177675,69.777207,75.69585,0.0,0.0,28.5,1.996742,0.0,0.008981,0.0,0.0,-100.0,4.0,115.0,0.0
4.8,0.075418,1.735149,0.942093,-0.077358,0.230839,0.141986,70.980004,75.611104,0.0,0.0,28.5,2.270012,0.0,-0.214796,0.0,0.0,-100.0,4.0,115.0,0.0
4.9,0.070747,1.741754,0.878186,-0.078377,0.223187,0.115975,72.246972,75.611104,0.0,0.0,28.5,1.996742,0.0,0.008981,0.0,0.0,-100.0,4.0,114.0,0.0
5.0,0.069574,1.741754,1.043792,-0.078719,0.215548,0.139615,71.278887,75.526358,0.0,0.0,28.5,1.552162,0.0,0.238529,0.0,0.0,-100.0,4.0,113.0,0.0
5.1,0.06745,1.73185,1.08103,-0.080118,0.202842,0.125418,71.706473,75.608326,0.0,0.0,28.5,1.500526,0.0,0.006619,0.0,0.0,-100.0,4.0,113.0,0.0
5.2,0.066452,1.728553,1.052361,-0.080824,0.185106,0.090098,73.52103,75.517416,0.0,0.0,28.5,1.447525,0.0,0.002173,0.0,0.0,-100.0,4.0,113.0,0.0
5.3,0.065506,1.721966,0.922556,-0.081219,0.177525,0.045716,75.447713,75.432671,0.0,0.0,28.5,1.724121,0.0,-0.222978,0.0,0.0,-100.0,4.0,113.0,0.0
5.4,0.065959,1.705534,1.006828,-0.080249,0.200304,0.139615,77.972223,75.432671,0.0,0.0,28.5,2.219147,0.0,0.007978,0.0,0.0,-92.0,4.0,113.0,0.0
5.5,0.062516,1.7121,0.956095,-0.081035,0.213004,0.156231,81.015701,75.347925,0.0,0.0,28.5,2.168076,0.0,0.232527,0.0,0.0,-77.0,4.0,112.0,0.0
5.6,0.057955,1.715387,0.88371,-0.082919,0.210462,0.125418,84.018557,75.263179,0.0,0.0,28.5,1.892715,0.0,0.459479,0.0,0.0,-62.0,4.0,111.0,0.0
5.7,0.054495,1.7121,0.981397,-0.084318,0.210462,0.146729,85.449452,75.17227,0.0,0.0,28.5,1.668175,0.0,0.919181,0.0,0.0,-54.0,4.0,110.0,0.0
5.8,0.050447,1.7121,1.072412,-0.085851,0.20792,0.156231,87.060563,75.084551,0.0,0.0,28.5,1.668503,0.0,0.689635,0.0,0.0,-46.0,4.0,110.0,0.0
5.9,0.047965,1.702255,1.101197,-0.086786,0.197768,0.144357,86.842243,75.084551,0.0,0.0,28.5,1.721245,0.0,0.46278,0.0,0.0,-47.0,4.0,109.0,0.0
6.0,0.046304,1.698977,0.894779,-0.08697,0.182578,0.06669,86.948626,75.002584,0.0,0.0,28.5,2.046394,0.0,0.240411,0.0,0.0,-47.0,4.0,109.0,0.0
6.1,0.044674,1.679356,0.847908,-0.08684,0.177525,0.048042,87.050222,74.830119,0.0,0.0,28.5,2.047318,0.0,0.013384,0.0,0.0,-46.0,4.0,108.0,0.0
