Time,TotalHb_Left,TotalHb_Left_1cm,TotalHb_Left_3cm,TotalHb_Right,TotalHb_Right_1cm,TotalHb_Right_3cm,HR_Left,HR_Right,LF/HF_Left,LF/HF_Right,TemperatureC,Slope_X,Slope_Y,Slope_Z,DeepBreath,Chart_X,Chart_Y,Chart_Quadrant,Chart_Radius,Mark
0.0,0.0,0.088047,0.014392,0.0,0.011978,-0.015128,0.0,0.0,0.0,0.0,29.375,3.549904,0.0,-1.597763,0.0,0.0,-100.0,4.0,100.0,0.0
0.1,-0.148568,0.111766,0.060348,-0.05114,0.032615,0.027161,101.694915,105.0,0.0,0.0,29.375,3.435577,0.0,-1.56252,0.0,0.0,17.0,1.0,71.0,0.0
0.2,-0.168781,0.099893,-0.001594,-0.069822,-0.001733,-0.087736,102.571596,105.131579,0.0,0.0,29.375,3.502869,0.0,-1.125173,0.0,0.0,21.0,1.0,67.0,0.0
0.3,-0.170374,0.095151,0.005251,-0.072098,-0.010853,-0.096466,102.863822,105.087719,0.0,0.0,29.375,3.729256,0.0,-0.89266,0.0,0.0,22.0,1.0,66.0,0.0
0.4,-0.169296,0.080953,-0.012981,-0.068905,-0.035847,-0.135563,103.009936,105.065789,0.0,0.0,29.375,3.282158,0.0,-1.130244,0.0,0.0,23.0,1.0,67.0,0.0
0.5,-0.162494,0.07151,0.000687,-0.059867,-0.044905,-0.120395,103.097604,105.052632,0.0,0.0,29.375,3.672066,0.0,-1.182606,0.0,0.0,24.0,1.0,68.0,0.0
0.6,-0.158418,0.121286,0.088126,-0.055683,0.030318,0.038349,103.507262,105.087719,0.0,0.0,29.375,3.616096,0.0,-1.163602,0.0,0.0,26.0,1.0,69.0,0.0
0.7,-0.157384,0.109389,0.053427,-0.054525,0.000549,-0.041653,103.799876,105.075188,0.0,0.0,29.375,3.230728,0.0,-1.416893,0.0,0.0,27.0,1.0,69.0,0.0
0.8,-0.15873,0.102265,0.023549,-0.057268,-0.017682,-0.111706,104.461255,105.46538,0.0,0.0,29.375,3.718155,0.0,-1.649659,0.0,0.0,30.0,1.0,69.0,0.0
0.9,-0.162179,0.092782,-0.015255,-0.062945,-0.031312,-0.174356,105.283827,106.176383,0.0,0.0,29.375,3.44873,0.0,-1.412154,0.0,0.0,35.0,1.0,68.0,0.0
1.0,-0.163177,0.066796,-0.044727,-0.064532,-0.065226,-0.221365,105.941885,106.745185,0.0,0.0,29.375,3.44873,0.0,-1.412154,0.0,0.0,38.0,1.0,68.0,0.0
1.1,-0.162249,0.095151,0.025841,-0.064443,-0.010853,-0.083365,106.480296,107.210569,0.0,0.0,29.375,3.44873,0.0,-1.412154,0.0,0.0,41.0,1.0,68.0,0.0
1.2,-0.159926,0.114144,0.078849,-0.06187,0.005118,-0.017343,107.089697,107.759113,0.0,0.0,29.375,3.402199,0.0,-0.943216,0.0,0.0,44.0,1.0,69.0,0.0
1.3,-0.158907,0.090414,0.023549,-0.060174,-0.035847,-0.116052,107.15972,107.825389,0.0,0.0,29.375,3.229538,0.0,-0.882952,0.0,0.0,44.0,1.0,69.0,0.0
1.4,-0.159666,0.090414,0.000687,-0.060867,-0.042642,-0.161458,107.400191,108.2032,0.0,0.0,29.375,3.171104,0.0,-0.862565,0.0,0.0,45.0,1.0,69.0,0.0
1.5,-0.159594,0.066796,-0.031146,-0.061583,-0.067479,-0.219237,107.691159,108.575861,0.0,0.0,29.375,3.235214,0.0,-0.655198,0.0,0.0,47.0,1.0,69.0,0.0
1.6,-0.162785,0.06444,-0.087491,-0.064912,-0.065226,-0.257389,108.362478,109.162067,0.0,0.0,29.375,3.229538,0.0,-0.882952,0.0,0.0,50.0,1.0,68.0,0.0
1.7,-0.16117,0.107013,0.064967,-0.063199,0.005118,-0.019558,108.834348,109.685507,0.0,0.0,29.375,3.125671,0.0,-0.928581,0.0,0.0,52.0,1.0,68.0,0.0
1.8,-0.158833,0.090414,0.051123,-0.060531,-0.031312,-0.081179,109.210523,109.926886,0.0,0.0,29.375,2.959969,0.0,-1.17866,0.0,0.0,54.0,1.0,69.0,0.0
1.9,-0.157742,0.085681,0.023549,-0.059319,-0.042642,-0.129068,109.555351,110.346241,0.0,0.0,29.375,3.115135,0.0,-1.380674,0.0,0.0,56.0,1.0,69.0,0.0
2.0,-0.156148,0.073869,0.014392,-0.056913,-0.056205,-0.133398,110.116426,110.803868,0.0,0.0,29.375,2.836792,0.0,-1.367331,0.0,0.0,59.0,1.0,69.0,0.0
2.1,-0.157076,0.055028,-0.06953,-0.057778,-0.080974,-0.253165,110.665596,111.372531,0.0,0.0,29.375,3.168289,0.0,-1.624269,0.0,0.0,61.0,1.0,69.0,0.0
2.2,-0.158252,0.092782,-0.008429,-0.059292,-0.01313,-0.116052,111.086186,111.830159,0.0,0.0,29.375,3.667168,0.0,-1.407473,0.0,0.0,64.0,1.0,69.0,0.0
2.3,-0.158881,0.102265,0.018968,-0.059762,-0.010853,-0.08992,111.146792,111.830159,0.0,0.0,29.375,3.39695,0.0,-1.168559,0.0,0.0,64.0,1.0,69.0,0.0
2.4,-0.15885,0.090414,0.012105,-0.058899,-0.038113,-0.120395,110.90228,111.791886,0.0,0.0,29.375,3.510017,0.0,-1.206315,0.0,0.0,63.0,1.0,69.0,0.0
2.5,-0.157352,0.090414,0.048819,-0.056798,-0.038113,-0.087736,110.90228,111.791886,0.0,0.0,29.375,3.727615,0.0,-1.20147,0.0,0.0,63.0,1.0,69.0,0.0
2.6,-0.156755,0.073869,-0.001594,-0.055371,-0.062972,-0.157151,110.90228,111.791886,0.0,0.0,29.375,3.173149,0.0,-1.39885,0.0,0.0,63.0,1.0,69.0,0.0
2.7,-0.155725,0.085681,0.032724,-0.053314,-0.038113,-0.081179,110.7737,111.663307,0.0,0.0,29.375,3.662498,0.0,-1.632487,0.0,0.0,62.0,1.0,69.0,0.0
2.8,-0.156569,0.123668,0.051123,-0.05403,0.011978,-0.041653,110.993055,111.663307,0.0,0.0,29.375,3.662498,0.0,-1.632487,0.0,0.0,63.0,1.0,69.0,0.0
2.9,-0.157315,0.114144,0.03502,-0.054831,-0.015407,-0.107357,110.957967,111.363702,0.0,0.0,29.375,3.168289,0.0,-1.624269,0.0,0.0,63.0,1.0,69.0,0.0
3.0,-0.157628,0.114144,0.046517,-0.055408,-0.017682,-0.107357,110.926342,111.235122,0.0,0.0,29.375,3.443993,0.0,-1.636948,0.0,0.0,63.0,1.0,69.0,0.0
3.1,-0.157652,0.107013,0.041915,-0.054789,-0.03358,-0.107357,110.808695,110.982249,0.0,0.0,29.375,3.013161,0.0,-1.421692,0.0,0.0,62.0,1.0,69.0,0.0
3.2,-0.156726,0.092782,0.046517,-0.052956,-0.049428,-0.103003,110.773607,110.898892,0.0,0.0,29.375,2.742149,0.0,-1.183803,0.0,0.0,62.0,1.0,69.0,0.0
3.3,-0.156028,0.135599,0.118394,-0.052018,0.032615,0.056302,110.920234,111.076868,0.0,0.0,29.375,2.747612,0.0,-0.959143,0.0,0.0,63.0,1.0,69.0,0.0
3.4,-0.155842,0.137988,0.10673,-0.0521,0.037213,0.033871,111.012188,110.990846,0.0,0.0,29.375,2.536087,0.0,-0.740312,0.0,0.0,63.0,1.0,69.0,0.0
3.5,-0.157607,0.130823,0.025841,-0.054654,0.018848,-0.094285,111.012188,110.952574,0.0,0.0,29.375,2.970985,0.0,-0.729039,0.0,0.0,63.0,1.0,69.0,0.0
3.6,-0.159089,0.128437,0.028134,-0.056404,0.000549,-0.111706,110.698709,110.699701,0.0,0.0,29.375,2.965363,0.0,-0.953769,0.0,0.0,62.0,1.0,69.0,0.0
3.7,-0.160054,0.109389,0.009819,-0.057481,-0.029043,-0.157151,110.513809,110.575407,0.0,0.0,29.375,2.9067,0.0,-0.93395,0.0,0.0,61.0,1.0,68.0,0.0
3.8,-0.160349,0.13321,0.076533,-0.057706,0.016557,-0.023985,110.421855,110.695625,0.0,0.0,29.375,3.350624,0.0,-0.697244,0.0,0.0,60.0,1.0,68.0,0.0
3.9,-0.15924,0.152349,0.16532,-0.055782,0.037213,0.106009,110.666367,110.489385,0.0,0.0,29.25,3.137131,0.0,-0.477139,0.0,0.0,61.0,1.0,69.0,0.0
4.0,-0.158944,0.137988,0.109061,-0.054966,0.014267,0.013768,110.666367,110.451113,0.0,0.0,29.375,3.368622,0.0,-0.020195,0.0,0.0,61.0,1.0,69.0,0.0
4.1,-0.158491,0.137988,0.116059,-0.0539,0.011978,0.02046,110.481467,110.451113,0.0,0.0,29.375,3.368622,0.0,-0.020195,0.0,0.0,61.0,1.0,69.0,0.0
4.2,-0.159862,0.123668,0.014392,-0.055462,-0.006295,-0.129068,110.296568,110.326819,0.0,0.0,29.375,2.989258,0.0,-0.055879,0.0,0.0,60.0,1.0,69.0,0.0
4.3,-0.160897,0.126052,0.030428,-0.05659,0.005118,-0.087736,110.14994,110.543067,0.0,0.0,29.375,3.143211,0.0,-0.251678,0.0,0.0,59.0,1.0,68.0,0.0
