Time,TotalHb_Left,smoothed,diff,,TotalHb_Left_1cm,TotalHb_Left_3cm,TotalHb_Right,TotalHb_Right_1cm,TotalHb_Right_3cm,HR_Left,HR_Right,LF/HF_Left,LF/HF_Right,TemperatureC,Slope_X,Slope_Y,Slope_Z,DeepBreath,Chart_X,Chart_Y,Chart_Quadrant,Chart_Radius,Mark
0,0,,,,0.33623,0.25514,0,0.177707,0.273419,0,0,0,0,27.125,1.950897,0,-0.443324,0,0,-100,4,100,0
0.1,0.002266,,,,0.325873,0.221968,0.015903,0.139136,0.171737,87.272727,75,0,0,27.125,2.030907,0,-0.444146,0,0,42,1,100,0
0.2,0.07582,,,,0.325873,0.369076,0.094804,0.121238,0.309501,82.525253,75,0,0,27.125,1.982712,0,-0.00189,0,0,19,1,115,0
0.3,0.100338,,,,0.325873,0.369076,0.115754,0.126345,0.299165,79.578239,75,0,0,27.125,1.774681,0,-0.224594,0,0,4,1,120,0
0.4,0.119162,,,,0.325873,0.395336,0.140355,0.105947,0.332835,78.433679,75,0,0,27.125,1.568054,0,-0.225214,0,0,-1,4,123,0
0.5,0.10962,,,,0.310377,0.280807,0.131033,0.062876,0.164194,78.302499,75,0,0,27.125,1.198616,0,-0.22264,0,0,-1,4,121,0
0.6,0.074242,,,,0.294929,0.096397,0.090995,0.025178,-0.080953,78.215045,75,0,0,27.125,1.323463,0,-0.444279,0,0,-2,4,114,0
0.7,0.058357,,,,0.297501,0.163813,0.075222,0.055314,0.04257,77.755753,75,0,0,27.125,1.613327,0,-0.444773,0,0,-4,4,111,0
0.8,0.046496,,,,0.323287,0.181441,0.065743,0.167392,0.186858,78.75057,75.158898,0,0,27.125,1.613831,0,-0.221368,0,0,0,1,109,0
0.9,0.05531,,,,0.318119,0.340347,0.076344,0.141698,0.319859,79.697476,75.282486,0,0,27.125,1.902397,0,-0.222363,0,0,5,1,111,0
1,0.063571,,,,0.307799,0.345558,0.084128,0.111039,0.278557,79.909547,75.381356,0,0,27.125,1.450111,0,-0.443139,0,0,6,1,112,0
1.1,0.074616,,,,0.307799,0.392704,0.096828,0.113587,0.35106,79.463224,75.46225,0,0,27.125,1.20076,0,-0.440645,0,0,3,1,114,0
1.2,0.075641,,,,0.294929,0.285957,0.097837,0.083099,0.202025,79.091289,75.423729,0,0,27.125,1.328835,0,-0.439466,0,0,2,1,115,0
1.3,0.064367,,,,0.284657,0.12126,0.085527,0.047763,-0.008663,78.776574,75.296557,0,0,27.125,1.837891,0,-0.439653,0,0,0,1,112,0
1.4,0.054724,,,,0.269288,0.1113,0.073988,0.012675,-0.061778,78.604222,75.187552,0,0,27.125,2.213005,0,-0.441024,0,0,0,4,110,0
1.5,0.043534,,,,0.251417,0.056871,0.060587,-0.024648,-0.154571,78.36394,75.175049,0,0,27.125,2.292862,0,-0.441864,0,0,-1,4,108,0
1.6,0.045282,,,,0.279529,0.260263,0.06193,0.116136,0.212162,78.407827,75.259794,0,0,27.125,1.870293,0,-0.442497,0,0,-1,4,109,0
1.7,0.049248,,,,0.287223,0.306607,0.066753,0.157099,0.319859,78.395056,75.34454,0,0,27,1.45063,0,-0.218099,0,0,-1,4,109,0
1.8,0.055472,,,,0.292359,0.35861,0.074339,0.136575,0.356279,78.482775,75.429286,0,0,27.125,1.741669,0,-0.219102,0,0,-1,4,111,0
1.9,0.056315,,,,0.287223,0.265391,0.075887,0.126345,0.24525,78.395056,75.514032,0,0,27.125,1.822327,0,-0.220738,0,0,-1,4,111,0
2,0.050195,,,,0.292359,0.13124,0.07041,0.118686,0.09929,78.122151,75.514032,0,0,27.125,1.950897,0,-0.443324,0,0,-2,4,110,0
2.1,0.045347,,,,0.274406,0.133738,0.065389,0.078035,0.052388,78.122151,75.432064,0,0,27.125,1.951401,0,-0.21847,0,0,-2,4,109,0
