Time,TotalHb_Left,TotalHb_Left_1cm,TotalHb_Left_3cm,TotalHb_Right,TotalHb_Right_1cm,TotalHb_Right_3cm,HR_Left,HR_Right,LF/HF_Left,LF/HF_Right,TemperatureC,Slope_X,Slope_Y,Slope_Z,DeepBreath,Chart_X,Chart_Y,Chart_Quadrant,Chart_Radius,Mark
0.0,0.0,0.389087,0.336286,0.0,0.089353,0.196571,0.0,0.0,0.0,0.0,29.375,-7.031677,0.0,1.116964,0.0,0.0,-100.0,4.0,100.0,0.0
0.1,-0.435217,0.374067,0.27939,0.09147,0.072184,0.137904,75.0,75.0,0.0,0.0,29.375,-7.463875,0.0,1.338707,0.0,0.0,38.0,1.0,13.0,0.0
0.2,-0.42805,0.365077,0.276697,0.082391,0.047758,0.103558,75.0,74.385246,0.0,0.0,29.375,-7.246765,0.0,1.341279,0.0,0.0,38.0,1.0,15.0,0.0
0.3,-0.45048,0.341182,0.156978,0.040144,0.013761,-0.036639,75.0,74.180328,0.0,0.0,29.375,-7.179688,0.0,1.558392,0.0,0.0,38.0,1.0,10.0,0.0
0.4,-0.488747,0.335226,0.037492,-0.011377,0.006506,-0.163036,75.340909,74.385246,0.0,0.0,29.375,-7.182457,0.0,1.332709,0.0,0.0,40.0,1.0,3.0,0.0
0.5,-0.46548,0.368072,0.330839,0.015344,0.081988,0.175158,77.858934,75.245902,0.0,0.0,29.375,-6.902527,0.0,1.326689,0.0,0.0,53.0,1.0,7.0,0.0
0.6,-0.431159,0.368072,0.443698,0.053249,0.079535,0.294082,78.275302,75.0,0.0,0.0,29.375,-7.055275,0.0,1.315753,0.0,0.0,55.0,1.0,14.0,0.0
0.7,-0.406613,0.362084,0.432575,0.076341,0.059956,0.253221,77.807402,75.0,0.0,0.0,29.5,-7.118622,0.0,1.324201,0.0,0.0,52.0,1.0,19.0,0.0
0.8,-0.4133,0.356103,0.220471,0.069538,0.050195,0.05378,77.626931,75.0,0.0,0.0,29.375,-7.118622,0.0,1.324201,0.0,0.0,51.0,1.0,18.0,0.0
0.9,-0.420234,0.353116,0.199217,0.061608,0.042887,0.025186,77.486565,75.0,0.0,0.0,29.375,-7.249306,0.0,1.114672,0.0,0.0,51.0,1.0,16.0,0.0
1.0,-0.420298,0.338204,0.225799,0.057331,0.023451,0.032968,77.374272,74.877049,0.0,0.0,29.375,-7.314133,0.0,1.122443,0.0,0.0,50.0,1.0,16.0,0.0
1.1,-0.431866,0.323336,0.070972,0.040721,-0.005563,-0.130479,77.046656,74.776453,0.0,0.0,29.5,-7.098022,0.0,0.896971,0.0,0.0,49.0,1.0,14.0,0.0
1.2,-0.434496,0.317401,0.143852,0.032758,-0.01279,-0.064721,76.876101,74.795082,0.0,0.0,29.5,-7.316429,0.0,0.89491,0.0,0.0,48.0,1.0,14.0,0.0
1.3,-0.422048,0.35013,0.396594,0.045726,0.059956,0.239675,77.015518,74.908628,0.0,0.0,29.375,-7.162613,0.0,0.903955,0.0,0.0,48.0,1.0,16.0,0.0
1.4,-0.405816,0.347145,0.468817,0.061661,0.052634,0.302295,77.486307,75.005954,0.0,0.0,29.375,-6.944946,0.0,0.677041,0.0,0.0,51.0,1.0,19.0,0.0
