Time,TotalHb_Left,TotalHb_Left_1cm,TotalHb_Left_3cm,TotalHb_Right,TotalHb_Right_1cm,TotalHb_Right_3cm,HR_Left,HR_Right,LF/HF_Left,LF/HF_Right,TemperatureC,Slope_X,Slope_Y,Slope_Z,DeepBreath,Chart_X,Chart_Y,Chart_Quadrant,Chart_Radius,Mark
0.0,0.0,-0.014101,-0.276458,0.0,-0.169813,-0.348574,0.0,0.0,0.0,0.0,28.5,-8.44384,0.0,-2.963038,0.0,0.0,-100.0,4.0,100.0,0.0
0.1,-0.265537,0.037544,-0.223192,-0.147727,-0.032671,-0.190742,64.285714,63.934426,0.0,0.0,28.5,-8.009766,0.0,-3.64624,0.0,0.0,-26.0,4.0,47.0,0.0
0.2,-0.264722,0.053964,-0.206252,-0.145186,-0.019021,-0.164434,63.59447,63.418826,0.0,0.0,28.375,-7.791039,0.0,-4.103559,0.0,0.0,-30.0,4.0,48.0,0.0
0.3,-0.277762,0.048485,-0.251297,-0.155276,-0.035396,-0.222709,63.707789,63.246959,0.0,0.0,28.5,-7.939987,0.0,-2.737059,0.0,0.0,-29.0,4.0,45.0,0.0
0.4,-0.252187,0.053964,-0.117805,-0.122396,-0.032671,-0.066768,63.764448,63.418826,0.0,0.0,28.5,-8.074051,0.0,-3.185472,0.0,0.0,-29.0,4.0,50.0,0.0
0.5,-0.23697,0.048485,-0.123558,-0.099132,-0.051718,-0.078709,63.643137,63.148854,0.0,0.0,28.5,-8.50972,0.0,-2.729789,0.0,0.0,-29.0,4.0,53.0,0.0
0.6,-0.231281,0.040277,-0.157942,-0.088655,-0.076102,-0.146818,63.562264,62.968873,0.0,0.0,28.5,-8.375397,0.0,-2.7402,0.0,0.0,-30.0,4.0,54.0,0.0
0.7,-0.232786,0.021177,-0.214729,-0.085658,-0.10843,-0.2285,64.256376,62.840314,0.0,0.0,28.5,-8.379128,0.0,-3.421783,0.0,0.0,-26.0,4.0,54.0,0.0
0.8,-0.244907,0.007579,-0.315347,-0.096736,-0.135211,-0.376743,64.119066,62.743896,0.0,0.0,28.5,-8.677269,0.0,-3.428483,0.0,0.0,-27.0,4.0,52.0,0.0
0.9,-0.263307,-0.00869,-0.411267,-0.11461,-0.172465,-0.517988,63.891277,62.961894,0.0,0.0,28.5,-8.541794,0.0,-2.986898,0.0,0.0,-28.0,4.0,48.0,0.0
1.0,-0.268118,0.026627,-0.279246,-0.120374,-0.06528,-0.265975,63.817939,63.136293,0.0,0.0,28.5,-8.8862,0.0,-2.53056,0.0,0.0,-29.0,4.0,47.0,0.0
1.1,-0.263193,0.043011,-0.166502,-0.118233,-0.016286,-0.114359,64.379945,63.457236,0.0,0.0,28.5,-8.737,0.0,-2.2971,0.0,0.0,-26.0,4.0,48.0,0.0
1.2,-0.253617,0.040277,-0.103391,-0.109405,-0.03812,-0.063779,64.752654,63.724689,0.0,0.0,28.5,-8.58606,0.0,-2.061393,0.0,0.0,-24.0,4.0,50.0,0.0
1.3,-0.241048,0.040277,-0.045319,-0.095857,-0.032671,0.023705,64.689713,63.950995,0.0,0.0,28.5,-8.729736,0.0,-2.960044,0.0,0.0,-24.0,4.0,52.0,0.0
1.4,-0.239946,0.040277,-0.180734,-0.093774,-0.029944,-0.105471,64.635764,64.144971,0.0,0.0,28.5,-9.166405,0.0,-3.190911,0.0,0.0,-25.0,4.0,53.0,0.0
1.5,-0.238992,0.040277,-0.180734,-0.098042,-0.029944,-0.196569,64.69035,64.358436,0.0,0.0,28.5,-9.528526,0.0,-3.196582,0.0,0.0,-24.0,4.0,53.0,0.0
1.6,-0.240032,0.023901,-0.226009,-0.104864,-0.092292,-0.342921,64.69035,64.381855,0.0,0.0,28.5,-9.600708,0.0,-3.420735,0.0,0.0,-24.0,4.0,52.0,0.0
1.7,-0.245527,-0.003273,-0.329163,-0.110884,-0.092292,-0.342921,64.707328,64.326238,0.0,0.0,28.5,-9.744675,0.0,-3.424146,0.0,0.0,-24.0,4.0,51.0,0.0
1.8,-0.248622,-0.014101,-0.307039,-0.113581,-0.10843,-0.320245,64.582964,64.27062,0.0,0.0,28.5,-9.244011,0.0,-3.425021,0.0,0.0,-25.0,4.0,51.0,0.0
1.9,-0.250515,-0.014101,-0.290382,-0.115444,-0.05986,-0.234283,64.4586,64.408325,0.0,0.0,28.5,-9.244736,0.0,-3.651188,0.0,0.0,-25.0,4.0,50.0,0.0
2.0,-0.247826,0.018455,-0.1722,-0.113022,0.022154,-0.024751,64.4586,64.714839,0.0,0.0,28.5,-9.029282,0.0,-3.650641,0.0,0.0,-25.0,4.0,51.0,0.0
2.1,-0.244745,0.013014,-0.16365,-0.109032,0.005644,-0.012681,64.4586,65.105209,0.0,0.0,28.5,-8.959915,0.0,-3.426748,0.0,0.0,-25.0,4.0,52.0,0.0
2.2,-0.242333,0.013014,-0.1722,-0.10658,0.002897,-0.042802,64.563863,65.49558,0.0,0.0,28.5,-8.528938,0.0,-3.425147,0.0,0.0,-25.0,4.0,52.0,0.0
2.3,-0.24187,0.010296,-0.214729,-0.106865,0.005644,-0.096566,64.68667,65.885951,0.0,0.0,28.5,-8.527969,0.0,-3.199043,0.0,0.0,-24.0,4.0,52.0,0.0
