Time,TotalHb_Left,TotalHb_Left_1cm,TotalHb_Left_3cm,TotalHb_Right,TotalHb_Right_1cm,TotalHb_Right_3cm,HR_Left,HR_Right,LF/HF_Left,LF/HF_Right,TemperatureC,Slope_X,Slope_Y,Slope_Z,DeepBreath,Chart_X,Chart_Y,Chart_Quadrant,Chart_Radius,Mark
0.0,0.0,0.1078,0.337592,0.0,-0.026342,0.061618,0.0,0.0,0.0,0.0,30.5,-12.646194,0.0,0.743788,0.0,0.0,-100.0,4.0,100.0,0.0
0.1,0.325718,0.095841,0.423611,0.084209,-0.051918,0.049733,97.5,87.931034,0.0,0.0,30.5,-12.654831,0.0,0.526857,0.0,0.0,25.0,1.0,165.0,0.0
0.2,0.100661,0.095841,-0.026504,0.000997,-0.054236,-0.11835,94.098837,86.418347,0.0,0.0,30.5,-12.776268,0.0,0.712999,0.0,0.0,8.0,1.0,120.0,0.0
0.3,-0.001601,0.136618,-0.069364,-0.02286,0.013443,-0.058303,91.899225,86.18366,0.0,0.0,30.5,-12.498726,0.0,0.698855,0.0,0.0,-2.0,4.0,100.0,0.0
0.4,0.015256,0.124591,0.191123,-0.005054,0.018144,0.063998,92.788055,86.066317,0.0,0.0,30.5,-12.58075,0.0,0.505075,0.0,0.0,2.0,1.0,103.0,0.0
0.5,0.056007,0.114989,0.335156,0.014286,0.011094,0.102239,90.97463,85.99591,0.0,0.0,30.5,-12.498726,0.0,0.698855,0.0,0.0,-6.0,4.0,111.0,0.0
0.6,0.046233,0.1078,0.106654,0.014201,0.013443,0.026047,92.885362,87.1805,0.0,0.0,30.5,-12.367599,0.0,0.729437,0.0,0.0,2.0,1.0,109.0,0.0
0.7,0.034592,0.095841,0.062642,0.008859,-0.000635,-0.02099,93.14986,88.026636,0.0,0.0,30.5,-12.432106,0.0,0.969092,0.0,0.0,4.0,1.0,106.0,0.0
0.8,0.03859,0.074387,0.14402,0.00803,-0.026342,-0.013962,92.481737,88.661237,0.0,0.0,30.5,-12.226418,0.0,0.977586,0.0,0.0,0.0,1.0,107.0,0.0
0.9,0.027827,0.093453,0.037337,0.002603,-0.021678,-0.053654,91.465248,89.336304,0.0,0.0,30.5,-12.505882,0.0,0.992637,0.0,0.0,-4.0,4.0,105.0,0.0
