Time,TotalHb_Left,TotalHb_Left_1cm,TotalHb_Left_3cm,TotalHb_Right,TotalHb_Right_1cm,TotalHb_Right_3cm,HR_Left,HR_Right,LF/HF_Left,LF/HF_Right,TemperatureC,Slope_X,Slope_Y,Slope_Z,DeepBreath,Chart_X,Chart_Y,Chart_Quadrant,Chart_Radius,Mark
0.0,0.0,-0.038584,-0.086312,0.0,0.018208,-0.043675,0.0,0.0,0.0,0.0,27.75,1.652679,0.0,-0.459113,0.0,0.0,-100.0,4.0,100.0,0.0
0.1,-0.075728,-0.049003,-0.055107,-0.031054,0.00661,-0.018023,66.0,63.934426,0.0,0.0,27.75,1.650345,0.0,-0.686816,0.0,0.0,-16.0,4.0,85.0,0.0
0.2,-0.083649,-0.069776,-0.063448,-0.032466,-0.002649,-0.035139,64.730769,63.934426,0.0,0.0,27.75,1.919716,0.0,-0.921469,0.0,0.0,-22.0,4.0,84.0,0.0
0.3,-0.089813,-0.075991,-0.071774,-0.03268,-0.014199,-0.052196,63.908563,63.675582,0.0,0.0,27.75,1.699982,0.0,-0.696514,0.0,0.0,-26.0,4.0,83.0,0.0
0.4,-0.106341,-0.075991,-0.12556,-0.045092,-0.02342,-0.115649,64.598089,63.54616,0.0,0.0,27.625,1.749245,0.0,-0.706139,0.0,0.0,-23.0,4.0,79.0,0.0
0.5,-0.122451,-0.082198,-0.154284,-0.058031,-0.016506,-0.132435,63.678471,63.623814,0.0,0.0,27.75,1.697868,0.0,-0.923418,0.0,0.0,-27.0,4.0,76.0,0.0
0.6,-0.126402,-0.09459,-0.109072,-0.063146,0.013566,-0.064952,63.065393,63.675582,0.0,0.0,27.75,1.598152,0.0,-0.905713,0.0,0.0,-30.0,4.0,75.0,0.0
0.7,-0.12609,-0.07392,-0.0946,-0.065088,0.018208,-0.045807,62.627479,63.295778,0.0,0.0,27.625,1.596191,0.0,-1.134454,0.0,0.0,-33.0,4.0,75.0,0.0
0.8,-0.115788,-0.023962,-0.032099,-0.060387,0.018208,0.003455,63.452891,63.142426,0.0,0.0,27.75,1.371284,0.0,-1.364882,0.0,0.0,-28.0,4.0,77.0,0.0
0.9,-0.107336,-0.007197,-0.034195,-0.056412,0.013566,-0.000848,63.735903,63.144145,0.0,0.0,27.625,0.98053,0.0,-1.147945,0.0,0.0,-27.0,4.0,79.0,0.0
1.0,-0.101733,-0.021869,-0.040478,-0.053018,0.00661,-0.009443,63.832901,63.14552,0.0,0.0,27.625,0.81234,0.0,-1.157685,0.0,0.0,-26.0,4.0,80.0,0.0
1.1,-0.103146,-0.026053,-0.104942,-0.054304,-0.007272,-0.075556,64.090516,63.146645,0.0,0.0,27.75,0.761475,0.0,-0.922793,0.0,0.0,-25.0,4.0,80.0,0.0
1.2,-0.106772,-0.021869,-0.135838,-0.057057,-0.018812,-0.113547,64.65873,63.212293,0.0,0.0,27.75,0.766243,0.0,-0.468939,0.0,0.0,-22.0,4.0,79.0,0.0
1.3,-0.111375,-0.026053,-0.154284,-0.060438,-0.030325,-0.144987,64.813187,63.208109,0.0,0.0,27.75,0.88195,0.0,-0.445207,0.0,0.0,-22.0,4.0,78.0,0.0
1.4,-0.116526,-0.021869,-0.172663,-0.064153,-0.041811,-0.174154,64.945578,63.126741,0.0,0.0,27.625,0.659325,0.0,-0.447777,0.0,0.0,-21.0,4.0,77.0,0.0
1.5,-0.113532,-0.002997,-0.067612,-0.062222,-0.021116,-0.064952,65.022653,63.056223,0.0,0.0,27.75,0.215332,0.0,-0.453026,0.0,0.0,-21.0,4.0,78.0,0.0
1.6,-0.11142,0.003309,-0.07801,-0.060361,-0.004961,-0.037274,65.205986,62.987476,0.0,0.0,27.75,0.156975,0.0,-0.671479,0.0,0.0,-20.0,4.0,78.0,0.0
1.7,-0.109101,-0.015586,-0.063448,-0.058006,-0.000336,-0.018023,65.55855,62.792978,0.0,0.0,27.625,0.434525,0.0,-0.678811,0.0,0.0,-18.0,4.0,79.0,0.0
1.8,-0.109774,-0.019776,-0.111136,-0.057807,-0.007272,-0.062828,66.113489,62.844747,0.0,0.0,27.625,0.432167,0.0,-0.907319,0.0,0.0,-15.0,4.0,79.0,0.0
1.9,-0.113406,-0.042755,-0.160418,-0.059592,-0.011891,-0.107235,66.284429,62.827769,0.0,0.0,27.625,0.430023,0.0,-1.1359,0.0,0.0,-14.0,4.0,78.0,0.0
2.0,-0.117458,-0.063553,-0.168584,-0.061011,-0.021116,-0.11775,66.767188,62.827769,0.0,0.0,27.625,0.482681,0.0,-1.371616,0.0,0.0,-12.0,4.0,77.0,0.0
2.1,-0.122639,-0.123385,-0.178774,-0.062119,-0.030325,-0.128244,67.350521,62.776,0.0,0.0,27.625,0.042831,0.0,-1.1478,0.0,0.0,-9.0,4.0,76.0,0.0
2.2,-0.126464,-0.109008,-0.164503,-0.062349,-0.044105,-0.132435,67.794966,62.846134,0.0,0.0,27.625,-0.339897,0.0,-1.159655,0.0,0.0,-7.0,4.0,75.0,0.0
2.3,-0.130383,-0.096652,-0.178774,-0.062365,-0.057848,-0.149164,67.822438,62.846134,0.0,0.0,27.625,-0.341873,0.0,-1.385667,0.0,0.0,-7.0,4.0,74.0,0.0
2.4,-0.131805,-0.065628,-0.137891,-0.061284,-0.039516,-0.094588,67.755772,62.703405,0.0,0.0,27.75,-0.620369,0.0,-1.607275,0.0,0.0,-7.0,4.0,74.0,0.0
2.5,-0.134877,-0.04067,-0.190974,-0.062074,-0.018812,-0.107235,67.704341,62.630809,0.0,0.0,27.75,-0.623238,0.0,-2.060827,0.0,0.0,-7.0,4.0,74.0,0.0
2.6,-0.137461,-0.011393,-0.195034,-0.062989,-0.021116,-0.115649,67.59323,62.341852,0.0,0.0,27.625,-0.462685,0.0,-2.283245,0.0,0.0,-8.0,4.0,73.0,0.0
2.7,-0.138981,0.020166,-0.182844,-0.06355,-0.02342,-0.111444,67.151672,62.079557,0.0,0.0,27.75,-0.34642,0.0,-2.064016,0.0,0.0,-10.0,4.0,73.0,0.0
