Time,TotalHb_Left,TotalHb_Left_1cm,TotalHb_Left_3cm,TotalHb_Right,TotalHb_Right_1cm,TotalHb_Right_3cm,HR_Left,HR_Right,LF/HF_Left,LF/HF_Right,TemperatureC,Slope_X,Slope_Y,Slope_Z,DeepBreath,Chart_X,Chart_Y,Chart_Quadrant,Chart_Radius,Mark
0.0,0.0,0.037782,-0.286895,0.0,-0.234328,-0.178246,0.0,0.0,0.0,0.0,25.75,-2.571053,0.0,0.854773,0.0,0.0,-100.0,4.0,100.0,0.0
0.1,-0.125011,0.02411,-0.1289,0.208068,-0.236522,0.003423,80.0,75.0,0.0,0.0,25.875,-2.823006,0.0,1.074253,0.0,0.0,-36.0,4.0,75.0,0.0
0.2,-0.223369,0.007752,-0.326202,0.080399,-0.243097,-0.257666,76.842105,79.95283,0.0,0.0,25.875,-2.571053,0.0,0.854773,0.0,0.0,-52.0,4.0,56.0,0.0
0.3,-0.316434,0.005031,-0.507135,-0.036915,-0.240906,-0.480023,75.789474,82.612232,0.0,0.0,25.875,-2.345398,0.0,1.08141,0.0,0.0,-57.0,4.0,37.0,0.0
0.4,-0.349959,-0.013975,-0.455784,-0.067954,-0.245286,-0.373381,75.284728,80.709174,0.0,0.0,25.875,-2.322845,0.0,1.090392,0.0,0.0,-59.0,4.0,31.0,0.0
0.5,-0.353269,-0.022098,-0.372053,-0.058608,-0.249662,-0.237364,75.965487,79.304181,0.0,0.0,25.875,-2.075417,0.0,1.098441,0.0,0.0,-56.0,4.0,30.0,0.0
0.6,-0.374167,-0.041002,-0.484873,-0.069411,-0.260587,-0.349125,76.462468,78.586818,0.0,0.0,25.875,-2.118568,0.0,1.080526,0.0,0.0,-54.0,4.0,26.0,0.0
0.7,-0.399891,-0.032909,-0.560162,-0.089452,-0.26713,-0.441112,76.253544,78.074415,0.0,0.0,25.875,-2.074524,0.0,0.87249,0.0,0.0,-55.0,4.0,21.0,0.0
0.8,-0.383344,0.046004,-0.27062,-0.075908,-0.254035,-0.201066,77.248167,77.366837,0.0,0.0,25.875,-2.074524,0.0,0.87249,0.0,0.0,-50.0,4.0,24.0,0.0
0.9,-0.365764,0.037782,-0.228524,-0.057219,-0.254035,-0.12767,76.852171,76.957657,0.0,0.0,25.875,-2.074524,0.0,0.87249,0.0,0.0,-52.0,4.0,27.0,0.0
1.0,-0.370114,0.029575,-0.412962,-0.065488,-0.251849,-0.357959,76.535375,76.761891,0.0,0.0,25.875,-2.053207,0.0,0.882224,0.0,0.0,-53.0,4.0,26.0,0.0
