Time,TotalHb_Left,TotalHb_Left_1cm,TotalHb_Left_3cm,TotalHb_Right,TotalHb_Right_1cm,TotalHb_Right_3cm,HR_Left,HR_Right,LF/HF_Left,LF/HF_Right,TemperatureC,Slope_X,Slope_Y,Slope_Z,DeepBreath,Chart_X,Chart_Y,Chart_Quadrant,Chart_Radius,Mark
0.0,0.0,-0.2133,-0.509984,0.0,-0.148223,-0.474058,0.0,0.0,0.0,0.0,30.125,7.834484,0.0,0.003138,0.0,0.0,-100.0,4.0,100.0,0.0
0.1,0.281767,-0.241723,-0.520795,0.003686,-0.162716,-0.4867,93.442623,94.736842,0.0,0.0,30.125,7.635754,0.0,0.437832,0.0,0.0,-49.0,4.0,156.0,0.0
0.2,0.31547,-0.241723,-0.453388,0.041538,-0.167538,-0.425298,93.273036,93.920145,0.0,0.0,30.125,7.722553,0.0,0.652292,0.0,0.0,-50.0,4.0,163.0,0.0
0.3,0.318051,-0.179935,-0.275116,0.087337,-0.133688,-0.225358,93.760971,94.192377,0.0,0.0,30.25,7.437466,0.0,0.654009,0.0,0.0,-47.0,4.0,163.0,0.0
0.4,0.303858,-0.182325,-0.344953,0.094034,-0.138538,-0.30455,94.004939,94.328494,0.0,0.0,30.125,7.721325,0.0,0.435564,0.0,0.0,-46.0,4.0,160.0,0.0
0.5,0.289149,-0.187103,-0.391713,0.084036,-0.136114,-0.367444,94.15132,94.410163,0.0,0.0,30.125,7.920025,0.0,0.21946,0.0,0.0,-45.0,4.0,157.0,0.0
0.6,0.279077,-0.196645,-0.424848,0.075007,-0.145804,-0.410363,94.248907,94.129682,0.0,0.0,30.125,8.12019,0.0,0.2201,0.0,0.0,-45.0,4.0,155.0,0.0
0.7,0.266109,-0.225162,-0.559522,0.057342,-0.162716,-0.539035,94.08527,93.539727,0.0,0.0,30.25,8.204029,0.0,0.218584,0.0,0.0,-45.0,4.0,153.0,0.0
0.8,0.25727,-0.229899,-0.568087,0.045588,-0.172355,-0.555667,93.962542,93.485192,0.0,0.0,30.125,8.005299,0.0,0.434265,0.0,0.0,-46.0,4.0,151.0,0.0
0.9,0.26429,-0.158367,-0.206591,0.065159,-0.136114,-0.189755,94.048575,93.442776,0.0,0.0,30.125,8.004444,0.0,0.21795,0.0,0.0,-46.0,4.0,152.0,0.0
1.0,0.264306,-0.155965,-0.254657,0.075651,-0.133688,-0.234219,94.117402,93.408843,0.0,0.0,30.25,7.804913,0.0,0.001305,0.0,0.0,-45.0,4.0,152.0,0.0
1.1,0.254744,-0.165567,-0.391713,0.072325,-0.140961,-0.386803,94.327508,93.196351,0.0,0.0,30.125,7.720448,0.0,0.218816,0.0,0.0,-44.0,4.0,150.0,0.0
1.2,0.246546,-0.172756,-0.418239,0.068317,-0.148223,-0.423167,94.361619,93.300359,0.0,0.0,30.25,7.805431,0.0,0.217313,0.0,0.0,-44.0,4.0,149.0,0.0
1.3,0.241505,-0.201409,-0.488292,0.063314,-0.167538,-0.501409,94.264837,93.046485,0.0,0.0,30.125,7.89069,0.0,0.431069,0.0,0.0,-45.0,4.0,148.0,0.0
1.4,0.237461,-0.215675,-0.531583,0.058442,-0.179571,-0.545278,94.181881,93.050554,0.0,0.0,30.125,7.891895,0.0,0.6463,0.0,0.0,-45.0,4.0,147.0,0.0
1.5,0.233959,-0.141528,-0.286446,0.064278,-0.143383,-0.28706,94.109985,93.05408,0.0,0.0,30.125,7.974499,0.0,0.428843,0.0,0.0,-45.0,4.0,146.0,0.0
1.6,0.231957,-0.134294,-0.245537,0.071134,-0.140961,-0.251895,94.196267,92.945187,0.0,0.0,30.125,7.805431,0.0,0.217313,0.0,0.0,-45.0,4.0,146.0,0.0
1.7,0.231061,-0.141528,-0.254657,0.076346,-0.145804,-0.280485,94.060799,92.920109,0.0,0.0,30.125,7.835011,0.0,0.220979,0.0,0.0,-46.0,4.0,146.0,0.0
1.8,0.226962,-0.153562,-0.353893,0.076945,-0.15789,-0.38895,94.060799,93.032891,0.0,0.0,30.125,7.662655,0.0,0.004672,0.0,0.0,-46.0,4.0,145.0,0.0
