Time,TotalHb_Left,TotalHb_Left_1cm,TotalHb_Left_3cm,TotalHb_Right,TotalHb_Right_1cm,TotalHb_Right_3cm,HR_Left,HR_Right,LF/HF_Left,LF/HF_Right,TemperatureC,Slope_X,Slope_Y,Slope_Z,DeepBreath,Chart_X,Chart_Y,Chart_Quadrant,Chart_Radius,Mark
0.0,0.0,0.103117,-0.214186,0.0,-0.018449,-0.188885,0.0,0.0,0.0,0.0,30.625,0.071106,0.0,0.903969,0.0,0.0,-100.0,4.0,100.0,0.0
0.1,-0.214593,0.08501,-0.136409,-0.081882,-0.030145,-0.173602,75.0,76.271186,0.0,0.0,30.625,0.235466,0.0,1.147395,0.0,0.0,-13.0,4.0,58.0,0.0
0.2,-0.154811,0.114468,0.008179,0.008578,0.000321,0.107091,78.409091,76.271186,0.0,0.0,30.625,0.235466,0.0,1.147395,0.0,0.0,3.0,1.0,70.0,0.0
0.3,-0.091956,0.114468,0.136963,0.081459,0.009733,0.266095,81.583072,76.709527,0.0,0.0,30.5,0.179367,0.0,1.389482,0.0,0.0,19.0,1.0,82.0,0.0
0.4,-0.077757,0.107655,0.06226,0.097181,0.009733,0.18322,80.924146,76.928697,0.0,0.0,30.5,0.338699,0.0,1.175762,0.0,0.0,15.0,1.0,85.0,0.0
0.5,-0.083471,0.107655,-0.008906,0.095256,0.012089,0.134147,80.012044,77.060199,0.0,0.0,30.5,0.11216,0.0,0.941719,0.0,0.0,11.0,1.0,84.0,0.0
0.6,-0.106058,0.098584,-0.129278,0.075452,0.000321,-0.015517,79.403976,77.147867,0.0,0.0,30.5,0.453705,0.0,0.92161,0.0,0.0,8.0,1.0,79.0,0.0
0.7,-0.135832,0.091792,-0.23053,0.048601,-0.011418,-0.142896,78.969642,77.367961,0.0,0.0,30.625,0.730469,0.0,0.684567,0.0,0.0,5.0,1.0,73.0,0.0
0.8,-0.143116,0.080493,-0.119754,0.036466,-0.02547,-0.124896,78.643891,77.230864,0.0,0.0,30.5,0.733437,0.0,0.913119,0.0,0.0,4.0,1.0,72.0,0.0
0.9,-0.143831,0.087269,-0.069455,0.03076,-0.02547,-0.091296,78.547656,77.124233,0.0,0.0,30.625,0.567291,0.0,0.671241,0.0,0.0,3.0,1.0,72.0,0.0
1.0,-0.129187,0.109925,0.101963,0.04674,0.007379,0.221724,79.113943,77.038928,0.0,0.0,30.5,0.226204,0.0,0.460507,0.0,0.0,6.0,1.0,75.0,0.0
1.1,-0.119915,0.109925,0.072156,0.058967,0.014446,0.235548,79.317761,77.088681,0.0,0.0,30.625,0.16925,0.0,0.700229,0.0,0.0,7.0,1.0,77.0,0.0
1.2,-0.122019,0.107655,-0.047742,0.060029,0.014446,0.126015,79.311721,77.130142,0.0,0.0,30.5,0.447853,0.0,0.46312,0.0,0.0,7.0,1.0,76.0,0.0
1.3,-0.122495,0.107655,-0.030788,0.060303,0.014446,0.117896,79.084945,77.165223,0.0,0.0,30.5,0.614532,0.0,0.705958,0.0,0.0,6.0,1.0,76.0,0.0
1.4,-0.13358,0.10085,-0.186043,0.051523,0.005025,-0.039158,78.890566,77.195294,0.0,0.0,30.5,0.783066,0.0,0.951076,0.0,0.0,5.0,1.0,74.0,0.0
1.5,-0.133743,0.094055,-0.050159,0.04911,-0.006726,0.000306,78.722104,77.133687,0.0,0.0,30.625,0.783066,0.0,0.951076,0.0,0.0,4.0,1.0,74.0,0.0
1.6,-0.132315,0.087269,-0.030788,0.048081,-0.018449,-0.02078,78.820143,77.133687,0.0,0.0,30.5,0.558968,0.0,0.947996,0.0,0.0,5.0,1.0,74.0,0.0
1.7,-0.130859,0.080493,-0.033214,0.045897,-0.027808,-0.073109,78.550783,77.133687,0.0,0.0,30.625,0.783066,0.0,0.951076,0.0,0.0,3.0,1.0,74.0,0.0
1.8,-0.124778,0.103117,0.072156,0.05141,0.000321,0.153174,78.302749,77.052182,0.0,0.0,30.625,0.675728,0.0,0.924658,0.0,0.0,2.0,1.0,76.0,0.0
1.9,-0.127145,0.105385,-0.074267,0.053027,0.012089,0.128724,78.212005,76.964514,0.0,0.0,30.5,0.730469,0.0,0.684567,0.0,0.0,2.0,1.0,75.0,0.0
2.0,-0.128554,0.105385,-0.059816,0.053825,0.014446,0.123307,78.121096,76.876846,0.0,0.0,30.5,0.952187,0.0,0.687313,0.0,0.0,1.0,1.0,75.0,0.0
2.1,-0.134757,0.10085,-0.167193,0.050217,0.016804,0.040083,78.030187,76.789178,0.0,0.0,30.625,0.790703,0.0,0.901665,0.0,0.0,1.0,1.0,74.0,0.0
2.2,-0.134022,0.096319,-0.030788,0.051509,0.007379,0.10979,77.851558,76.628022,0.0,0.0,30.5,0.733437,0.0,0.913119,0.0,0.0,0.0,1.0,74.0,0.0
2.3,-0.133311,0.08953,-0.035638,0.05191,-0.004378,0.053413,77.760649,76.543276,0.0,0.0,30.5,0.730469,0.0,0.684567,0.0,0.0,0.0,4.0,74.0,0.0
2.4,-0.130819,0.080493,0.00085,0.053102,-0.016107,0.034761,77.493497,76.45853,0.0,0.0,30.625,0.509201,0.0,0.681786,0.0,0.0,-1.0,4.0,74.0,0.0
2.5,-0.129444,0.07598,-0.025934,0.052906,-0.020791,-0.012883,76.797495,76.373785,0.0,0.0,30.5,0.450653,0.0,0.692409,0.0,0.0,-4.0,4.0,75.0,0.0
2.6,-0.130587,0.098584,-0.069455,0.053777,0.005025,0.099002,76.707099,76.201371,0.0,0.0,30.625,0.675728,0.0,0.924658,0.0,0.0,-5.0,4.0,74.0,0.0
2.7,-0.131574,0.096319,-0.069455,0.055531,0.012089,0.14773,76.508826,76.028957,0.0,0.0,30.625,0.901405,0.0,1.157234,0.0,0.0,-6.0,4.0,74.0,0.0
