Time,TotalHb_Left,TotalHb_Left_1cm,TotalHb_Left_3cm,TotalHb_Right,TotalHb_Right_1cm,TotalHb_Right_3cm,HR_Left,HR_Right,LF/HF_Left,LF/HF_Right,TemperatureC,Slope_X,Slope_Y,Slope_Z,DeepBreath,Chart_X,Chart_Y,Chart_Quadrant,Chart_Radius,Mark
0.0,0.0,0.127056,0.268929,0.0,0.072595,-0.051218,0.0,0.0,0.0,0.0,29.375,-0.403427,0.0,1.615939,0.0,0.0,-100.0,4.0,100.0,0.0
0.1,-0.043297,0.117081,0.217722,-0.100942,0.050595,-0.080877,83.606557,83.606557,0.0,0.0,29.375,0.043449,0.0,1.385151,0.0,0.0,36.0,1.0,92.0,0.0
0.2,-0.044032,0.099673,0.176649,-0.102104,0.021412,-0.095641,83.182589,83.182589,0.0,0.0,29.375,0.097778,0.0,0.931578,0.0,0.0,34.0,1.0,92.0,0.0
0.3,-0.082636,0.089752,0.039004,-0.137223,-0.007601,-0.212207,83.041266,83.041266,0.0,0.0,29.375,0.372887,0.0,0.707838,0.0,0.0,33.0,1.0,84.0,0.0
0.4,-0.088264,0.09471,0.10498,-0.137096,-0.014829,-0.144541,82.970605,82.970605,0.0,0.0,29.375,0.819504,0.0,0.476879,0.0,0.0,33.0,1.0,83.0,0.0
0.5,-0.079743,0.139553,0.266479,-0.129901,0.07995,-0.06854,83.519341,82.928208,0.0,0.0,29.375,0.595253,0.0,0.706435,0.0,0.0,35.0,1.0,85.0,0.0
0.6,-0.061735,0.114591,0.283657,-0.120018,0.089773,-0.033835,82.992308,83.041266,0.0,0.0,29.375,0.717705,0.0,0.922536,0.0,0.0,33.0,1.0,88.0,0.0
0.7,-0.055287,0.109613,0.227435,-0.117917,0.089773,-0.06854,83.080058,82.419446,0.0,0.0,29.375,0.217484,0.0,0.919575,0.0,0.0,33.0,1.0,89.0,0.0
0.8,-0.055068,0.097191,0.162233,-0.123185,0.07995,-0.12748,83.221366,82.567835,0.0,0.0,29.375,-0.006973,0.0,0.92084,0.0,0.0,34.0,1.0,89.0,0.0
0.9,-0.043467,0.06997,0.203187,-0.114657,0.050595,-0.026367,83.331273,82.589033,0.0,0.0,29.5,-0.059967,0.0,0.915409,0.0,0.0,34.0,1.0,92.0,0.0
