Time,TotalHb_Left,TotalHb_Left_1cm,TotalHb_Left_3cm,TotalHb_Right,TotalHb_Right_1cm,TotalHb_Right_3cm,HR_Left,HR_Right,LF/HF_Left,LF/HF_Right,TemperatureC,Slope_X,Slope_Y,Slope_Z,DeepBreath,Chart_X,Chart_Y,Chart_Quadrant,Chart_Radius,Mark
0.0,0.0,-0.182238,-0.243795,0.0,-0.301906,0.08619,0.0,0.0,0.0,0.0,30.375,-11.62468,0.0,6.168518,0.0,0.0,-100.0,4.0,100.0,0.0
0.1,-0.021729,-0.132585,-0.226567,0.329701,-0.260829,0.08619,85.714286,82.978723,0.0,0.0,30.375,-11.002022,0.0,6.328602,0.0,0.0,53.0,1.0,96.0,0.0
0.2,0.0117,-0.127592,-0.15205,0.353245,-0.251655,0.141798,86.493506,81.28528,0.0,0.0,30.375,-11.356758,0.0,5.934096,0.0,0.0,57.0,1.0,102.0,0.0
0.3,0.053154,-0.132585,-0.068777,0.381107,-0.260829,0.193321,86.233766,80.720799,0.0,0.0,30.375,-10.614006,0.0,5.474319,0.0,0.0,56.0,1.0,110.0,0.0
0.4,0.033949,-0.142555,-0.243795,0.360749,-0.26312,0.054036,89.675325,81.969171,0.0,0.0,30.375,-9.874687,0.0,5.016401,0.0,0.0,73.0,1.0,106.0,0.0
0.5,-0.016922,-0.159955,-0.467229,0.312021,-0.276844,-0.141275,91.74026,82.375337,0.0,0.0,30.375,-9.45462,0.0,5.027881,0.0,0.0,83.0,1.0,97.0,0.0
0.6,-0.042787,-0.182238,-0.453111,0.28164,-0.292807,-0.143476,91.967458,83.558394,0.0,0.0,30.375,-9.355217,0.0,5.293465,0.0,0.0,84.0,1.0,92.0,0.0
0.7,-0.0398,-0.194574,-0.321808,0.27598,-0.313257,-0.050182,90.517561,83.866379,0.0,0.0,30.375,-9.420578,0.0,5.094575,0.0,0.0,77.0,1.0,93.0,0.0
0.8,-0.029702,-0.152505,-0.194412,0.28327,-0.29053,0.063202,89.917152,83.909397,0.0,0.0,30.375,-9.633423,0.0,5.088738,0.0,0.0,74.0,1.0,95.0,0.0
0.9,-0.036851,-0.147532,-0.321808,0.27915,-0.28141,-0.016436,89.283082,83.781533,0.0,0.0,30.375,-9.913109,0.0,4.882648,0.0,0.0,71.0,1.0,93.0,0.0
1.0,-0.042774,-0.152505,-0.331474,0.275826,-0.285972,-0.020949,88.926203,83.20338,0.0,0.0,30.375,-9.741714,0.0,4.38691,0.0,0.0,69.0,1.0,92.0,0.0
1.1,-0.038062,-0.157473,-0.233958,0.280309,-0.29053,0.054036,89.305952,83.660827,0.0,0.0,30.375,-9.681656,0.0,4.369204,0.0,0.0,71.0,1.0,93.0,0.0
1.2,-0.039468,-0.169871,-0.316967,0.279604,-0.304178,-0.011919,89.62241,83.189091,0.0,0.0,30.375,-9.471199,0.0,4.374238,0.0,0.0,73.0,1.0,93.0,0.0
1.3,-0.047345,-0.189643,-0.434226,0.271557,-0.31779,-0.121421,91.083816,84.482238,0.0,0.0,30.375,-9.202103,0.0,4.361525,0.0,0.0,80.0,1.0,91.0,0.0
1.4,-0.049863,-0.201961,-0.393855,0.267319,-0.326844,-0.092602,91.980427,85.007559,0.0,0.0,30.375,-8.991501,0.0,4.366394,0.0,0.0,84.0,1.0,91.0,0.0
1.5,-0.040387,-0.159955,-0.154551,0.27483,-0.295083,0.104657,92.030217,84.067661,0.0,0.0,30.375,-8.785301,0.0,4.153175,0.0,0.0,85.0,1.0,92.0,0.0
1.6,-0.031946,-0.15499,-0.144536,0.283035,-0.288251,0.13714,92.241857,83.263019,0.0,0.0,30.375,-8.737778,0.0,3.701423,0.0,0.0,86.0,1.0,94.0,0.0
1.7,-0.037848,-0.164915,-0.386697,0.279506,-0.292807,-0.050182,92.838769,83.488812,0.0,0.0,30.375,-8.789909,0.0,3.935009,0.0,0.0,89.0,1.0,93.0,0.0
1.8,-0.03793,-0.167393,-0.297559,0.278988,-0.295083,-0.005137,93.195912,84.182689,0.0,0.0,30.375,-8.943871,0.0,3.914587,0.0,0.0,90.0,1.0,93.0,0.0
1.9,-0.03917,-0.179767,-0.338712,0.277197,-0.301906,-0.036711,92.736142,84.286585,0.0,0.0,30.375,-8.996391,0.0,4.148577,0.0,0.0,88.0,1.0,93.0,0.0
2.0,-0.040864,-0.201961,-0.384308,0.273416,-0.31779,-0.094825,92.276372,84.893482,0.0,0.0,30.375,-9.260315,0.0,4.379218,0.0,0.0,86.0,1.0,92.0,0.0
2.1,-0.047084,-0.1995,-0.478963,0.26726,-0.31779,-0.152272,92.85519,84.810922,0.0,0.0,30.375,-9.202103,0.0,4.361525,0.0,0.0,89.0,1.0,91.0,0.0
2.2,-0.043307,-0.152505,-0.199373,0.27075,-0.283691,0.079283,93.829216,84.613878,0.0,0.0,30.375,-9.106918,0.0,4.402014,0.0,0.0,94.0,1.0,92.0,0.0
2.3,-0.035559,-0.150019,-0.096689,0.278198,-0.279127,0.181564,93.933112,84.853502,0.0,0.0,30.375,-9.270103,0.0,3.942298,0.0,0.0,94.0,1.0,93.0,0.0
2.4,-0.035347,-0.152505,-0.26586,0.279039,-0.28141,0.035754,94.500895,86.154442,0.0,0.0,30.375,-8.842133,0.0,4.170177,0.0,0.0,97.0,1.0,93.0,0.0
2.5,-0.037445,-0.150019,-0.319388,0.277195,-0.276844,-0.025457,95.215181,87.440928,0.0,0.0,30.375,-8.899384,0.0,4.1873,0.0,0.0,100.0,1.0,93.0,0.0
2.6,-0.039021,-0.162436,-0.329059,0.274963,-0.28141,-0.043451,96.025828,86.796671,0.0,0.0,30.375,-8.625076,0.0,4.39382,0.0,0.0,100.0,1.0,93.0,0.0
2.7,-0.035103,-0.182238,-0.214224,0.27621,-0.297359,0.031194,96.485598,87.450329,0.0,0.0,30.375,-8.524368,0.0,4.434771,0.0,0.0,100.0,1.0,93.0,0.0
2.8,-0.034722,-0.172346,-0.290262,0.274953,-0.292807,-0.032212,95.910885,87.722438,0.0,0.0,30.375,-8.738426,0.0,4.42991,0.0,0.0,100.0,1.0,94.0,0.0
2.9,-0.036278,-0.125094,-0.273193,0.27464,-0.256244,0.026638,94.966707,87.482342,0.0,0.0,30.375,-8.957054,0.0,4.204545,0.0,0.0,99.0,1.0,93.0,0.0
3.0,-0.033579,-0.112585,-0.129476,0.277838,-0.242463,0.144128,94.710814,88.369104,0.0,0.0,30.375,-9.234039,0.0,3.995933,0.0,0.0,98.0,1.0,94.0,0.0
3.1,-0.032006,-0.127592,-0.18199,0.279333,-0.242463,0.097724,94.749801,89.356117,0.0,0.0,30.375,-9.170319,0.0,4.199791,0.0,0.0,98.0,1.0,94.0,0.0
3.2,-0.033686,-0.127592,-0.282954,0.278079,-0.247061,0.008457,94.436401,90.031099,0.0,0.0,30.375,-9.019981,0.0,4.000514,0.0,0.0,97.0,1.0,94.0,0.0
3.3,-0.038622,-0.140064,-0.412894,0.273429,-0.251655,-0.110356,94.571869,89.612494,0.0,0.0,30.375,-8.957054,0.0,4.204545,0.0,0.0,97.0,1.0,93.0,0.0
3.4,-0.0365,-0.152505,-0.201851,0.273533,-0.260829,0.033474,94.571869,89.976131,0.0,0.0,30.375,-8.899384,0.0,4.1873,0.0,0.0,97.0,1.0,93.0,0.0
3.5,-0.033454,-0.169871,-0.19193,0.273675,-0.272273,0.024362,94.571869,89.286476,0.0,0.0,30.375,-8.83725,0.0,4.389009,0.0,0.0,97.0,1.0,94.0,0.0
3.6,-0.035129,-0.135079,-0.302418,0.270664,-0.237861,-0.056904,93.857584,89.286476,0.0,0.0,30.375,-9.255081,0.0,4.597469,0.0,0.0,94.0,1.0,93.0,0.0
3.7,-0.036478,-0.102555,-0.243795,0.269324,-0.205529,0.028916,93.500441,89.856191,0.0,0.0,30.375,-9.106918,0.0,4.402014,0.0,0.0,92.0,1.0,93.0,0.0
3.8,-0.032242,-0.100044,-0.030463,0.271762,-0.205529,0.169835,93.608185,90.040268,0.0,0.0,30.375,-9.378029,0.0,4.414979,0.0,0.0,93.0,1.0,94.0,0.0
3.9,-0.029175,-0.097532,-0.063686,0.2732,-0.193931,0.14646,93.086744,88.777642,0.0,0.0,30.375,-9.660828,0.0,3.986614,0.0,0.0,90.0,1.0,95.0,0.0
4.0,-0.031566,-0.110079,-0.295128,0.269648,-0.196252,-0.052424,91.921331,87.574174,0.0,0.0,30.375,-9.179749,0.0,3.758941,0.0,0.0,84.0,1.0,94.0,0.0
4.1,-0.033559,-0.117592,-0.295128,0.266101,-0.200893,-0.063617,90.765856,88.776757,0.0,0.0,30.375,-9.111916,0.0,4.182599,0.0,0.0,78.0,1.0,94.0,0.0
4.2,-0.031619,-0.137572,-0.164546,0.26508,-0.207845,0.028916,90.328697,89.052131,0.0,0.0,30.375,-8.629898,0.0,4.174772,0.0,0.0,76.0,1.0,94.0,0.0
4.3,-0.030819,-0.15499,-0.236419,0.263029,-0.228645,-0.036711,89.235801,87.687126,0.0,0.0,30.375,-7.986069,0.0,4.407907,0.0,0.0,71.0,1.0,94.0,0.0
4.4,-0.035917,-0.172346,-0.52098,0.255878,-0.240163,-0.275949,88.78813,87.322014,0.0,0.0,30.375,-7.94117,0.0,3.952021,0.0,0.0,68.0,1.0,93.0,0.0
4.5,-0.037906,-0.117592,-0.307273,0.252358,-0.200893,-0.090379,88.435975,87.19185,0.0,0.0,30.375,-7.679207,0.0,3.721289,0.0,0.0,67.0,1.0,93.0,0.0
4.6,-0.03407,-0.102555,-0.020196,0.254116,-0.184633,0.160472,88.044833,87.051335,0.0,0.0,30.375,-7.891724,0.0,3.717415,0.0,0.0,65.0,1.0,94.0,0.0
4.7,-0.031858,-0.112585,-0.104275,0.25446,-0.186959,0.095415,87.366867,86.36168,0.0,0.0,30.375,-8.210548,0.0,3.462626,0.0,0.0,61.0,1.0,94.0,0.0
4.8,-0.032638,-0.117592,-0.251161,0.252278,-0.179977,-0.018693,86.733741,86.297526,0.0,0.0,30.375,-8.471489,0.0,3.690266,0.0,0.0,58.0,1.0,94.0,0.0
4.9,-0.031741,-0.125094,-0.18199,0.250967,-0.184633,0.015267,86.044086,85.47285,0.0,0.0,30.375,-8.802406,0.0,3.279769,0.0,0.0,55.0,1.0,94.0,0.0
5.0,-0.029968,-0.145044,-0.167042,0.249969,-0.196252,0.017539,85.260918,85.238628,0.0,0.0,30.375,-8.590675,0.0,3.283456,0.0,0.0,51.0,1.0,95.0,0.0
5.1,-0.031432,-0.167393,-0.353156,0.244347,-0.207845,-0.145677,84.613218,84.74089,0.0,0.0,30.375,-8.490082,0.0,3.314951,0.0,0.0,48.0,1.0,94.0,0.0
5.2,-0.038565,-0.182238,-0.592526,0.234159,-0.221721,-0.339834,83.965518,84.038549,0.0,0.0,30.375,-8.061607,0.0,3.322266,0.0,0.0,44.0,1.0,93.0,0.0
5.3,-0.043915,-0.187176,-0.420014,0.225642,-0.233255,-0.206893,83.463321,83.385429,0.0,0.0,30.375,-8.057785,0.0,3.543272,0.0,0.0,42.0,1.0,92.0,0.0
5.4,-0.040185,-0.140064,-0.053487,0.225449,-0.203211,0.100034,83.286815,83.253602,0.0,0.0,30.375,-8.057785,0.0,3.543272,0.0,0.0,41.0,1.0,92.0,0.0
5.5,-0.035163,-0.142555,-0.189447,0.227172,-0.198573,0.017539,83.35699,83.303916,0.0,0.0,30.375,-8.053741,0.0,3.764161,0.0,0.0,41.0,1.0,93.0,0.0
5.6,-0.03468,-0.150019,-0.379528,0.225288,-0.203211,-0.154468,82.978792,82.286967,0.0,0.0,30.375,-8.208664,0.0,3.964191,0.0,0.0,39.0,1.0,94.0,0.0
5.7,-0.035998,-0.150019,-0.319388,0.221997,-0.200893,-0.110356,82.173013,81.675176,0.0,0.0,30.375,-7.94117,0.0,3.952021,0.0,0.0,35.0,1.0,93.0,0.0
5.8,-0.035541,-0.167393,-0.194412,0.219135,-0.212475,-0.007398,82.022971,81.286591,0.0,0.0,30.375,-8.582672,0.0,3.720831,0.0,0.0,35.0,1.0,93.0,0.0
5.9,-0.036621,-0.187176,-0.43659,0.214086,-0.226338,-0.217746,81.839063,80.954535,0.0,0.0,30.375,-8.53479,0.0,3.269719,0.0,0.0,34.0,1.0,93.0,0.0
6.0,-0.038679,-0.204422,-0.514002,0.207537,-0.240163,-0.305864,81.598626,80.655849,0.0,0.0,30.375,-8.749474,0.0,3.048234,0.0,0.0,32.0,1.0,93.0,0.0
6.1,-0.039547,-0.224058,-0.379528,0.201597,-0.249358,-0.20472,81.358189,80.267264,0.0,0.0,30.375,-8.960114,0.0,3.044759,0.0,0.0,31.0,1.0,93.0,0.0
6.2,-0.039327,-0.224058,-0.389084,0.196549,-0.249358,-0.213408,80.93446,79.834768,0.0,0.0,30.375,-8.538422,0.0,3.051667,0.0,0.0,29.0,1.0,93.0,0.0
6.3,-0.035534,-0.169871,-0.214224,0.195835,-0.2171,-0.063617,80.451599,79.65086,0.0,0.0,30.375,-8.798462,0.0,3.498299,0.0,0.0,27.0,1.0,93.0,0.0
6.4,-0.035588,-0.167393,-0.343531,0.192562,-0.210161,-0.147876,80.019103,79.627051,0.0,0.0,30.375,-8.912849,0.0,3.5276,0.0,0.0,25.0,1.0,93.0,0.0
6.5,-0.039364,-0.177294,-0.369954,0.185057,-0.214788,-0.196016,79.767788,79.60719,0.0,0.0,30.375,-8.916885,0.0,3.307456,0.0,0.0,23.0,1.0,93.0,0.0
6.6,-0.043514,-0.182238,-0.393855,0.176637,-0.2171,-0.217746,79.677393,79.313483,0.0,0.0,30.375,-8.590675,0.0,3.283456,0.0,0.0,23.0,1.0,92.0,0.0
6.7,-0.043631,-0.192109,-0.434226,0.17149,-0.219411,-0.239382,79.586997,79.019777,0.0,0.0,30.375,-8.272171,0.0,3.042179,0.0,0.0,22.0,1.0,92.0,0.0
6.8,-0.043311,-0.209338,-0.345939,0.166437,-0.233255,-0.20037,79.40917,78.726071,0.0,0.0,30.375,-7.793129,0.0,3.25298,0.0,0.0,22.0,1.0,92.0,0.0
6.9,-0.043361,-0.226507,-0.412894,0.160762,-0.247061,-0.269515,78.925299,78.393251,0.0,0.0,30.375,-7.796539,0.0,3.035905,0.0,0.0,19.0,1.0,92.0,0.0
7.0,-0.043526,-0.246058,-0.460175,0.155355,-0.260829,-0.312251,78.591966,78.245103,0.0,0.0,30.375,-8.107803,0.0,3.495244,0.0,0.0,17.0,1.0,92.0,0.0
7.1,-0.043628,-0.258238,-0.57416,0.149329,-0.269986,-0.409177,78.020375,77.821374,0.0,0.0,30.375,-8.165985,0.0,3.290699,0.0,0.0,15.0,1.0,92.0,0.0
7.2,-0.0464,-0.204422,-0.417642,0.140988,-0.237861,-0.2952,77.508927,77.388878,0.0,0.0,30.375,-8.590675,0.0,3.283456,0.0,0.0,12.0,1.0,91.0,0.0
7.3,-0.049784,-0.189643,-0.326643,0.132195,-0.228645,-0.211237,77.085198,77.121726,0.0,0.0,30.375,-8.374695,0.0,3.506057,0.0,0.0,10.0,1.0,91.0,0.0
