Time,TotalHb_Left,TotalHb_Left_1cm,TotalHb_Left_3cm,TotalHb_Right,TotalHb_Right_1cm,TotalHb_Right_3cm,HR_Left,HR_Right,LF/HF_Left,LF/HF_Right,TemperatureC,Slope_X,Slope_Y,Slope_Z,DeepBreath,Chart_X,Chart_Y,Chart_Quadrant,Chart_Radius,Mark
0.0,0.0,-0.693493,-0.597659,0.0,-0.235353,-0.18667,0.0,0.0,0.0,0.0,27.75,-3.318245,0.0,0.547981,0.0,0.0,-100.0,4.0,100.0,0.0
0.1,0.126731,-0.706989,-0.66937,0.167153,-0.242271,-0.234831,82.258065,72.413793,0.905645,0.392984,27.75,-3.143963,0.0,0.75116,0.0,0.0,4.0,1.0,125.0,0.0
0.2,0.103447,-0.718207,-0.728731,0.162292,-0.246877,-0.25223,78.629032,72.570533,0.905645,0.392984,27.75,-2.855831,0.0,0.756642,0.0,0.0,-13.0,4.0,120.0,0.0
0.3,0.100688,-0.747257,-0.746855,0.172909,-0.276714,-0.26524,77.009519,72.62278,0.905645,0.392984,27.75,-2.9515,0.0,0.532374,0.0,0.0,-21.0,4.0,120.0,0.0
0.4,0.088243,-0.76949,-0.816472,0.180332,-0.306374,-0.306215,76.507139,72.759768,0.905645,0.392984,27.75,-2.767113,0.0,0.524593,0.0,0.0,-24.0,4.0,117.0,0.0
0.5,0.092592,-0.793831,-0.785152,0.195361,-0.32907,-0.291158,75.68847,72.84196,0.905645,0.392984,27.75,-2.748421,0.0,0.101427,0.0,0.0,-28.0,4.0,118.0,0.0
0.6,0.08861,-0.802653,-0.836504,0.20144,-0.32907,-0.314798,76.23162,72.863796,0.905645,0.392984,27.75,-2.852791,0.0,0.08636,0.0,0.0,-25.0,3.0,117.0,0.0
0.7,0.092822,-0.711479,-0.683131,0.194952,-0.223803,-0.215185,75.867704,72.907644,0.905645,0.392735,27.75,-2.604485,0.0,0.481275,0.0,0.0,-27.0,3.0,118.0,0.0
0.8,0.093979,-0.711479,-0.699138,0.18784,-0.226116,-0.237009,75.759241,72.94053,0.906513,0.392547,27.75,-2.896549,0.0,0.475237,0.0,0.0,-27.0,4.0,118.0,0.0
0.9,0.094336,-0.727164,-0.721918,0.183237,-0.23766,-0.247886,76.946067,72.944135,0.907188,0.392402,27.75,-2.905487,0.0,0.689439,0.0,0.0,-22.0,4.0,118.0,0.0
1.0,0.098402,-0.738337,-0.696855,0.181359,-0.244574,-0.241363,77.251461,72.947018,0.907727,0.392286,27.75,-3.002743,0.0,0.461222,0.0,0.0,-20.0,4.0,119.0,0.0
1.1,0.100777,-0.765051,-0.737801,0.181631,-0.272135,-0.267405,76.935009,72.967356,0.908169,0.39219,27.75,-3.473434,0.0,0.248786,0.0,0.0,-22.0,4.0,120.0,0.0
1.2,0.101101,-0.787204,-0.782908,0.18454,-0.301822,-0.284691,77.34194,72.984304,0.908537,0.392111,27.75,-3.287083,0.0,0.240215,0.0,0.0,-20.0,4.0,120.0,0.0
1.3,0.101609,-0.81146,-0.807544,0.188172,-0.320004,-0.299767,77.985967,73.139358,0.908849,0.392044,27.625,-3.394958,0.0,0.225432,0.0,0.0,-16.0,4.0,120.0,0.0
1.4,0.099376,-0.798244,-0.829835,0.187765,-0.290425,-0.299767,77.587954,73.272261,0.909116,0.391986,27.75,-3.296715,0.0,0.455283,0.0,0.0,-18.0,4.0,119.0,0.0
1.5,0.101305,-0.720448,-0.683131,0.184037,-0.214544,-0.223926,77.327705,73.387443,0.910047,0.391856,27.75,-2.905487,0.0,0.689439,0.0,0.0,-20.0,4.0,120.0,0.0
