Time,TotalHb_Left,TotalHb_Left_1cm,TotalHb_Left_3cm,TotalHb_Right,TotalHb_Right_1cm,TotalHb_Right_3cm,HR_Left,HR_Right,LF/HF_Left,LF/HF_Right,TemperatureC,Slope_X,Slope_Y,Slope_Z,DeepBreath,Chart_X,Chart_Y,Chart_Quadrant,Chart_Radius,Mark
0.0,0.0,0.031006,-0.012793,0.0,0.076599,-0.012601,0.0,0.0,0.0,0.0,30.375,-0.21447,0.0,-1.973459,0.0,0.0,-100.0,4.0,100.0,0.0
0.1,-0.029457,0.106873,0.156954,0.033382,0.166895,0.152878,95.0,95.0,0.0,0.0,30.375,-0.221931,0.0,-1.756168,0.0,0.0,7.0,1.0,95.0,0.0
0.2,-0.096521,0.09256,-0.00119,-0.00353,0.144168,0.063094,94.221311,95.0,0.0,0.0,30.375,-0.458725,0.0,-0.879087,0.0,0.0,3.0,1.0,81.0,0.0
0.3,-0.086953,0.075913,0.066648,0.003302,0.12606,0.107784,94.393155,95.0,0.0,0.0,30.375,-0.804535,0.0,-0.693711,0.0,0.0,4.0,1.0,83.0,0.0
0.4,-0.104204,0.052228,-0.061237,-0.007365,0.094528,0.02931,94.479077,95.0,0.0,0.0,30.375,-1.230186,0.0,-0.462472,0.0,0.0,5.0,1.0,80.0,0.0
0.5,-0.120901,0.016908,-0.152231,-0.019827,0.054278,-0.029268,94.271786,95.0,0.0,0.0,30.375,-1.303802,0.0,-0.26116,0.0,0.0,4.0,1.0,76.0,0.0
0.6,-0.147753,-0.018163,-0.305406,-0.037813,0.016559,-0.113824,94.133592,94.740437,0.0,0.0,30.375,-1.641098,0.0,-0.668784,0.0,0.0,3.0,1.0,71.0,0.0
0.7,-0.150483,0.009874,-0.143206,-0.035722,0.056505,0.018799,94.219771,94.739924,0.0,0.0,30.375,-1.566177,0.0,-0.867182,0.0,0.0,3.0,1.0,70.0,0.0
0.8,-0.115794,0.064056,0.2416,-0.014264,0.12606,0.22676,94.317299,94.772433,0.0,0.0,30.375,-1.566177,0.0,-0.867182,0.0,0.0,4.0,1.0,77.0,0.0
0.9,-0.116524,0.040427,-0.047443,-0.012411,0.101269,0.075822,94.393155,94.797718,0.0,0.0,30.375,-1.277611,0.0,-1.287288,0.0,0.0,4.0,1.0,77.0,0.0
1.0,-0.119549,0.026302,-0.095554,-0.014581,0.09004,0.031415,94.45384,94.817947,0.0,0.0,30.375,-1.136421,0.0,-1.315543,0.0,0.0,5.0,1.0,77.0,0.0
1.1,-0.117584,-0.004164,-0.097833,-0.017885,0.054278,-0.010514,94.361911,94.834497,0.0,0.0,30.375,-1.136421,0.0,-1.315543,0.0,0.0,4.0,1.0,77.0,0.0
1.2,-0.11239,-0.039088,-0.11376,-0.023488,0.014349,-0.072756,94.285303,94.718507,0.0,0.0,30.375,-1.136421,0.0,-1.315543,0.0,0.0,4.0,1.0,78.0,0.0
1.3,-0.110583,-0.080678,-0.217181,-0.033161,-0.025264,-0.164689,94.320037,94.719918,0.0,0.0,30.375,-1.344437,0.0,-1.308592,0.0,0.0,4.0,1.0,78.0,0.0
1.4,-0.110361,-0.022821,-0.138687,-0.037584,0.052051,-0.056234,94.233138,94.604456,0.0,0.0,30.375,-1.411743,0.0,-1.330041,0.0,0.0,3.0,1.0,78.0,0.0
1.5,-0.095429,0.021603,0.156954,-0.031825,0.099021,0.120627,94.180437,94.527,0.0,0.0,30.375,-1.695808,0.0,-1.125797,0.0,0.0,3.0,1.0,81.0,0.0
1.6,-0.080383,0.009874,0.168959,-0.026935,0.081076,0.105647,94.076612,94.423175,0.0,0.0,30.375,-1.757355,0.0,-1.366137,0.0,0.0,3.0,1.0,84.0,0.0
1.7,-0.080937,0.000511,-0.081855,-0.030096,0.078837,-0.023025,94.180437,94.296738,0.0,0.0,30.375,-1.757355,0.0,-1.366137,0.0,0.0,3.0,1.0,84.0,0.0
1.8,-0.084851,-0.027474,-0.190408,-0.036959,0.047601,-0.117912,94.094156,94.296738,0.0,0.0,30.375,-1.695808,0.0,-1.125797,0.0,0.0,3.0,1.0,84.0,0.0
1.9,-0.078161,-0.064546,-0.05894,-0.039222,0.009932,-0.070693,94.007874,94.192913,0.0,0.0,30.375,-1.695808,0.0,-1.125797,0.0,0.0,2.0,1.0,85.0,0.0
2.0,-0.073875,-0.096759,-0.14772,-0.044294,-0.023072,-0.154557,93.985263,94.066476,0.0,0.0,30.375,-1.418991,0.0,-1.111891,0.0,0.0,2.0,1.0,86.0,0.0
2.1,-0.073639,-0.022821,-0.100112,-0.046319,0.060964,-0.041732,93.962651,94.043865,0.0,0.0,30.375,-1.418991,0.0,-1.111891,0.0,0.0,2.0,1.0,86.0,0.0
2.2,-0.070614,0.014563,0.024433,-0.04519,0.09004,0.044062,93.87637,93.957583,0.0,0.0,30.375,-1.210228,0.0,-1.118663,0.0,0.0,2.0,1.0,86.0,0.0
2.3,-0.063897,-0.001827,0.087889,-0.042899,0.069892,0.058858,93.772545,93.853758,0.0,0.0,30.375,-0.927917,0.0,-1.322431,0.0,0.0,1.0,1.0,88.0,0.0
2.4,-0.064105,-0.0065,-0.072702,-0.043603,0.060964,-0.014688,93.66872,93.649457,0.0,0.0,30.375,-0.993874,0.0,-1.344032,0.0,0.0,1.0,1.0,88.0,0.0
2.5,-0.072982,-0.027474,-0.325044,-0.049177,0.034273,-0.156585,93.564894,93.545632,0.0,0.0,30.375,-1.06749,0.0,-1.146335,0.0,0.0,0.0,1.0,86.0,0.0
2.6,-0.078119,-0.055303,-0.292271,-0.053797,0.003313,-0.164689,93.542283,93.419195,0.0,0.0,30.375,-1.270164,0.0,-1.358741,0.0,0.0,0.0,1.0,85.0,0.0
2.7,-0.076909,-0.085278,-0.181451,-0.055958,-0.031836,-0.132195,93.519671,93.396584,0.0,0.0,30.375,-1.555229,0.0,-1.15366,0.0,0.0,0.0,1.0,85.0,0.0
2.8,-0.073121,-0.018163,0.005785,-0.054074,0.052051,0.035627,93.305577,93.182489,0.0,0.0,30.375,-1.772064,0.0,-0.927048,0.0,0.0,0.0,4.0,86.0,0.0
2.9,-0.075295,0.014563,-0.104665,-0.05429,0.076599,-0.004247,93.227712,93.104625,0.0,0.0,30.375,-1.779007,0.0,-0.707257,0.0,0.0,-1.0,4.0,85.0,0.0
3.0,-0.070643,0.016908,0.099729,-0.051494,0.056505,0.071576,92.998204,92.875117,0.0,0.0,30.375,-1.365524,0.0,-0.499635,0.0,0.0,-2.0,4.0,86.0,0.0
3.1,-0.075578,0.016908,-0.18817,-0.053182,0.049825,-0.066566,92.897728,92.875117,0.0,0.0,30.375,-1.087471,0.0,-0.487005,0.0,0.0,-2.0,4.0,85.0,0.0
3.2,-0.079029,-0.013501,-0.201581,-0.054919,0.009932,-0.099488,92.66609,92.769915,0.0,0.0,30.375,-1.020737,0.0,-0.468422,0.0,0.0,-3.0,4.0,85.0,0.0
3.3,-0.083165,-0.046044,-0.285691,-0.057731,-0.027456,-0.164689,92.538276,92.643478,0.0,0.0,30.375,-1.223801,0.0,-0.681359,0.0,0.0,-4.0,4.0,84.0,0.0
3.4,-0.084522,-0.064546,-0.230515,-0.059912,-0.038399,-0.156585,92.308768,92.515665,0.0,0.0,30.375,-1.432701,0.0,-0.675099,0.0,0.0,-5.0,4.0,84.0,0.0
3.5,-0.083446,0.021603,-0.003513,-0.058094,0.063194,0.050398,92.230904,92.538276,0.0,0.0,30.375,-1.42598,0.0,-0.893575,0.0,0.0,-6.0,4.0,84.0,0.0
3.6,-0.081653,0.021603,0.024433,-0.055801,0.069892,0.075822,92.024007,92.33138,0.0,0.0,30.375,-1.432701,0.0,-0.675099,0.0,0.0,-7.0,4.0,84.0,0.0
3.7,-0.082466,0.012218,-0.084141,-0.054819,0.063194,0.027206,92.024007,92.230904,0.0,0.0,30.375,-1.156937,0.0,-0.662183,0.0,0.0,-7.0,4.0,84.0,0.0
3.8,-0.086656,-0.004164,-0.241599,-0.055742,0.047601,-0.054164,92.001396,92.208292,0.0,0.0,30.375,-1.358513,0.0,-0.873684,0.0,0.0,-7.0,4.0,83.0,0.0
3.9,-0.087874,-0.039088,-0.192644,-0.056495,0.005519,-0.078937,91.873582,92.180955,0.0,0.0,30.375,-1.358513,0.0,-0.873684,0.0,0.0,-7.0,4.0,83.0,0.0
4.0,-0.091568,-0.06916,-0.344605,-0.058951,-0.031836,-0.1748,91.644074,91.951447,0.0,0.0,30.375,-1.418991,0.0,-1.111891,0.0,0.0,-8.0,4.0,82.0,0.0
4.1,-0.092434,-0.064546,-0.228295,-0.059613,-0.016489,-0.095385,91.538873,91.846245,0.0,0.0,30.375,-1.411743,0.0,-1.330041,0.0,0.0,-9.0,4.0,82.0,0.0
