Time,TotalHb_Left,TotalHb_Left_1cm,TotalHb_Left_3cm,TotalHb_Right,TotalHb_Right_1cm,TotalHb_Right_3cm,HR_Left,HR_Right,LF/HF_Left,LF/HF_Right,TemperatureC,Slope_X,Slope_Y,Slope_Z,DeepBreath,Chart_X,Chart_Y,Chart_Quadrant,Chart_Radius,Mark
0.0,0.0,-0.051184,-0.01084,0.0,-0.052993,-0.008613,0.0,0.0,0.0,0.0,29.75,-0.094353,0.0,0.000761,0.0,0.0,-100.0,4.0,100.0,0.0
0.1,-0.013385,-0.046154,-0.01084,0.036228,-0.0484,-0.008613,66.666667,64.285714,0.0,0.0,29.75,-0.394386,0.0,0.21788,0.0,0.0,17.0,1.0,98.0,0.0
0.2,-0.009805,-0.043637,-0.003887,0.039775,-0.0484,-0.00152,66.060606,64.285714,0.0,0.0,29.75,-0.591507,0.0,-0.001086,0.0,0.0,14.0,1.0,99.0,0.0
0.3,0.00401,-0.036079,0.033357,0.058464,-0.046101,0.053204,66.262626,66.261398,0.0,0.0,29.75,-0.787376,0.0,-0.001451,0.0,0.0,15.0,1.0,100.0,0.0
0.4,-0.000659,-0.033557,-0.013155,0.045322,-0.043802,-0.034539,66.678102,67.343107,0.0,0.0,29.75,-0.687439,0.0,-0.000337,0.0,0.0,17.0,1.0,100.0,0.0
0.5,-0.010463,-0.038599,-0.047757,0.026609,-0.050697,-0.095287,66.675815,67.207819,0.0,0.0,29.75,-0.687439,0.0,-0.438326,0.0,0.0,17.0,1.0,98.0,0.0
0.6,-0.018913,-0.038599,-0.059238,0.011062,-0.0484,-0.111517,66.67429,66.644814,0.0,0.0,29.75,-0.783409,0.0,-0.658823,0.0,0.0,17.0,1.0,97.0,0.0
0.7,-0.02602,-0.046154,-0.066114,-0.000752,-0.055288,-0.123078,66.673201,66.19006,0.0,0.0,29.75,-0.782372,0.0,-0.878552,0.0,0.0,17.0,1.0,95.0,0.0
0.8,-0.027591,-0.043637,-0.03625,-0.002921,-0.052993,-0.067341,66.520869,65.81104,0.0,0.0,29.75,-0.782372,0.0,-0.878552,0.0,0.0,16.0,1.0,95.0,0.0
0.9,-0.022824,-0.036079,0.017028,0.002762,-0.046101,0.005584,66.612655,65.516246,0.0,0.0,29.75,-0.682587,0.0,-0.66109,0.0,0.0,17.0,1.0,96.0,0.0
