Time,TotalHb_Left,TotalHb_Left_1cm,TotalHb_Left_3cm,TotalHb_Right,TotalHb_Right_1cm,TotalHb_Right_3cm,HR_Left,HR_Right,LF/HF_Left,LF/HF_Right,TemperatureC,Slope_X,Slope_Y,Slope_Z,DeepBreath,Chart_X,Chart_Y,Chart_Quadrant,Chart_Radius,Mark
0.0,0.0,0.108052,0.012346,0.0,-0.053795,-0.14857,0.0,0.0,0.0,0.0,27.125,0.232597,0.0,0.712517,0.0,0.0,-100.0,4.0,100.0,0.0
0.1,0.046345,0.095966,0.028859,0.039322,-0.068946,-0.155418,66.101695,70.0,0.0,0.0,27.125,0.719116,0.0,0.454718,0.0,0.0,-37.0,4.0,109.0,0.0
0.2,0.010056,0.083909,-0.041531,0.025303,-0.079022,-0.21212,66.101695,70.0,0.0,0.0,27.0,0.704216,0.0,0.425228,0.0,0.0,-37.0,4.0,102.0,0.0
0.3,0.008619,0.105632,-0.013494,0.029558,-0.076505,-0.178176,67.79661,69.08046,0.0,0.0,27.0,0.704216,0.0,0.425228,0.0,0.0,-29.0,4.0,101.0,0.0
0.4,0.015278,0.112894,0.014702,0.031107,-0.05885,-0.130263,68.347458,68.335769,0.0,0.0,27.125,0.704216,0.0,0.425228,0.0,0.0,-26.0,4.0,103.0,0.0
0.5,0.016657,0.105632,0.002934,0.030726,-0.061376,-0.143999,68.448458,68.001948,0.0,0.0,27.0,0.508156,0.0,0.642406,0.0,0.0,-26.0,4.0,103.0,0.0
0.6,0.022685,0.105632,0.033588,0.034341,-0.063901,-0.12797,69.109347,67.779401,0.0,0.0,27.125,0.508156,0.0,0.642406,0.0,0.0,-22.0,4.0,104.0,0.0
0.7,0.024105,0.09838,0.014702,0.033934,-0.061376,-0.141713,69.581411,68.266121,0.0,0.0,27.0,0.508156,0.0,0.642406,0.0,0.0,-20.0,4.0,104.0,0.0
0.8,0.021263,0.081501,-0.013494,0.035019,-0.076505,-0.173633,69.78204,68.78458,0.0,0.0,27.125,0.508156,0.0,0.642406,0.0,0.0,-19.0,4.0,104.0,0.0
0.9,0.01631,0.074284,-0.036869,0.037397,-0.094097,-0.209865,69.806257,69.051454,0.0,0.0,27.125,0.60228,0.0,0.629866,0.0,0.0,-19.0,4.0,103.0,0.0
1.0,-0.000221,0.067078,-0.161242,0.031069,-0.096605,-0.299312,69.944276,69.264952,0.0,0.0,27.0,0.797852,0.0,0.413409,0.0,0.0,-18.0,4.0,100.0,0.0
1.1,-0.00954,0.057485,-0.113242,0.029332,-0.109127,-0.297096,69.698558,69.188234,0.0,0.0,27.0,0.907249,0.0,0.430736,0.0,0.0,-19.0,4.0,99.0,0.0
1.2,-0.012795,0.088728,-0.064776,0.029526,-0.094097,-0.234623,69.398819,68.978103,0.0,0.0,27.0,0.91349,0.0,0.654175,0.0,0.0,-21.0,4.0,98.0,0.0
1.3,-0.01085,0.091139,-0.004113,0.032359,-0.084052,-0.171359,69.232862,68.800301,0.0,0.0,27.0,0.819824,0.0,0.666919,0.0,0.0,-22.0,4.0,98.0,0.0
1.4,-0.010144,0.081501,-0.015836,0.034512,-0.089077,-0.189516,68.962983,68.647898,0.0,0.0,27.0,0.623009,0.0,0.884737,0.0,0.0,-23.0,4.0,98.0,0.0
