Time,TotalHb_Left,TotalHb_Left_1cm,TotalHb_Left_3cm,TotalHb_Right,TotalHb_Right_1cm,TotalHb_Right_3cm,HR_Left,HR_Right,LF/HF_Left,LF/HF_Right,TemperatureC,Slope_X,Slope_Y,Slope_Z,DeepBreath,Chart_X,Chart_Y,Chart_Quadrant,Chart_Radius,Mark
0.0,0.0,-0.023659,0.07553,0.0,-0.010444,-0.061096,0.0,0.0,0.0,0.0,29.75,1.416748,0.0,-0.630308,0.0,0.0,-100.0,4.0,100.0,0.0
0.1,0.208148,-0.016351,0.142071,0.006304,-0.003559,0.00288,64.705882,63.157895,0.0,0.0,29.875,1.134666,0.0,-0.625336,0.0,0.0,23.0,1.0,141.0,0.0
0.2,0.223605,-0.018788,0.163648,0.009197,-0.001261,0.011769,64.705882,63.309717,0.0,0.0,29.75,0.928925,0.0,-0.628294,0.0,0.0,23.0,1.0,144.0,0.0
0.3,0.214404,-0.018788,0.120586,-0.002992,0.003336,-0.021483,64.189886,64.4287,0.0,0.0,29.75,0.720703,0.0,-0.850403,0.0,0.0,20.0,1.0,142.0,0.0
0.4,0.201435,-0.023659,0.068453,-0.01689,-0.001261,-0.058903,64.392415,64.497996,0.0,0.0,29.75,0.717987,0.0,-1.069592,0.0,0.0,21.0,1.0,140.0,0.0
0.5,0.191285,-0.026092,0.047281,-0.029421,-0.003559,-0.082968,64.300817,64.455539,0.0,0.0,29.875,0.717987,0.0,-1.069592,0.0,0.0,21.0,1.0,138.0,0.0
0.6,0.187232,-0.030956,0.044934,-0.040371,-0.00815,-0.104745,64.239752,64.427235,0.0,0.0,29.875,0.875603,0.0,-0.864427,0.0,0.0,21.0,1.0,137.0,0.0
0.7,0.191332,-0.04067,0.05668,-0.048548,-0.012737,-0.113429,64.246318,64.407018,0.0,0.0,29.75,0.80143,0.0,-0.639087,0.0,0.0,21.0,1.0,138.0,0.0
0.8,0.197318,-0.045519,0.061386,-0.055261,-0.01732,-0.124264,64.110265,64.250877,0.0,0.0,29.875,0.80143,0.0,-0.639087,0.0,0.0,20.0,1.0,139.0,0.0
0.9,0.205215,-0.035815,0.127737,-0.054554,-0.003559,-0.05232,64.004446,64.129435,0.0,0.0,29.75,0.798431,0.0,-0.857439,0.0,0.0,20.0,1.0,141.0,0.0
1.0,0.209241,-0.026092,0.142071,-0.051967,0.001037,-0.0259,64.104002,64.216491,0.0,0.0,29.75,0.717987,0.0,-1.069592,0.0,0.0,20.0,1.0,141.0,0.0
1.1,0.208852,-0.026092,0.101566,-0.05117,-0.001261,-0.043529,64.185456,64.222784,0.0,0.0,29.75,0.995949,0.0,-1.51104,0.0,0.0,20.0,1.0,141.0,0.0
1.2,0.208305,-0.030956,0.080254,-0.052123,0.003336,-0.05671,64.253335,64.426441,0.0,0.0,29.75,0.995949,0.0,-1.51104,0.0,0.0,21.0,1.0,141.0,0.0
1.3,0.207116,-0.030956,0.070811,-0.053799,-0.001261,-0.074231,64.395516,64.555307,0.0,0.0,29.875,1.07692,0.0,-1.079727,0.0,0.0,21.0,1.0,141.0,0.0
1.4,0.206585,-0.035815,0.059032,-0.056572,-0.003559,-0.096046,64.438694,64.510958,0.0,0.0,29.875,0.9496,0.0,-1.088233,0.0,0.0,22.0,1.0,141.0,0.0
1.5,0.210849,-0.038243,0.120586,-0.057568,-0.012737,-0.087331,64.476114,64.472523,0.0,0.0,29.75,0.875603,0.0,-0.864427,0.0,0.0,22.0,1.0,142.0,0.0
1.6,0.214077,-0.050364,0.066096,-0.060012,-0.015029,-0.115598,64.448103,64.547711,0.0,0.0,29.875,1.07692,0.0,-1.079727,0.0,0.0,22.0,1.0,142.0,0.0
1.7,0.215141,-0.045519,0.054329,-0.062279,-0.010444,-0.11126,64.344904,64.527468,0.0,0.0,29.75,1.074593,0.0,-1.297702,0.0,0.0,21.0,1.0,143.0,0.0
1.8,0.216625,-0.04067,0.082617,-0.061586,-0.001261,-0.050124,64.344904,64.29355,0.0,0.0,29.75,1.201141,0.0,-1.509283,0.0,0.0,21.0,1.0,143.0,0.0
1.9,0.217598,-0.035815,0.094451,-0.060482,0.003336,-0.034722,64.297285,64.190351,0.0,0.0,29.75,1.275444,0.0,-1.732329,0.0,0.0,21.0,1.0,143.0,0.0
2.0,0.219684,-0.030956,0.137289,-0.058716,0.003336,-0.019273,64.297285,64.190351,0.0,0.0,29.875,1.072578,0.0,-1.515721,0.0,0.0,21.0,1.0,143.0,0.0
2.1,0.220097,-0.030956,0.106314,-0.058044,0.007938,-0.032518,64.517748,64.311416,0.0,0.0,29.75,0.91703,0.0,-1.725949,0.0,0.0,22.0,1.0,144.0,0.0
2.2,0.222823,-0.038243,0.130123,-0.057652,0.003336,-0.043529,64.517748,64.236228,0.0,0.0,29.75,1.199425,0.0,-1.728412,0.0,0.0,22.0,1.0,144.0,0.0
2.3,0.224579,-0.04067,0.103939,-0.058018,0.001037,-0.063287,64.78998,64.236228,0.0,0.0,29.875,1.199425,0.0,-1.728412,0.0,0.0,23.0,1.0,144.0,0.0
2.4,0.225281,-0.047942,0.054329,-0.059603,-0.005855,-0.102572,65.062213,64.389338,0.0,0.0,29.875,1.199425,0.0,-1.728412,0.0,0.0,25.0,1.0,145.0,0.0
2.5,0.225355,-0.055205,0.012193,-0.062026,-0.010444,-0.132914,65.014594,64.341719,0.0,0.0,29.875,1.352592,0.0,-1.518651,0.0,0.0,25.0,1.0,145.0,0.0
2.6,0.224448,-0.043095,0.033217,-0.063406,-0.001261,-0.098222,64.891787,64.341719,0.0,0.0,29.875,1.150658,0.0,-1.303126,0.0,0.0,24.0,1.0,144.0,0.0
2.7,0.225025,-0.033386,0.10869,-0.062186,0.005637,-0.021483,64.76898,64.230608,0.0,0.0,29.75,0.795738,0.0,-1.075847,0.0,0.0,23.0,1.0,145.0,0.0
2.8,0.227278,-0.030956,0.166052,-0.05993,0.010241,0.01622,64.647914,64.086123,0.0,0.0,29.875,0.795738,0.0,-1.075847,0.0,0.0,23.0,1.0,145.0,0.0
2.9,0.230301,-0.028525,0.20224,-0.057782,0.012545,0.020674,64.600295,64.268273,0.0,0.0,29.75,0.793373,0.0,-1.294306,0.0,0.0,23.0,1.0,146.0,0.0
3.0,0.231357,-0.028525,0.149253,-0.056962,0.012545,-0.01485,64.933629,64.450422,0.0,0.0,29.875,0.715591,0.0,-1.288832,0.0,0.0,24.0,1.0,146.0,0.0
3.1,0.229437,-0.026092,0.068453,-0.057798,0.010241,-0.067667,65.384756,64.450422,0.0,0.0,29.75,1.074593,0.0,-1.297702,0.0,0.0,26.0,1.0,145.0,0.0
3.2,0.229176,-0.033386,0.089714,-0.058484,0.007938,-0.067667,65.719685,64.52561,0.0,0.0,29.875,1.354568,0.0,-1.30112,0.0,0.0,28.0,1.0,145.0,0.0
3.3,0.227498,-0.038243,0.023862,-0.060065,0.003336,-0.104745,65.872795,64.67872,0.0,0.0,29.75,1.486504,0.0,-1.075109,0.0,0.0,29.0,1.0,145.0,0.0
3.4,0.227086,-0.043095,0.044934,-0.061278,-0.003559,-0.104745,65.872795,64.868194,0.0,0.0,29.75,1.279137,0.0,-1.295674,0.0,0.0,29.0,1.0,145.0,0.0
3.5,0.227982,-0.04067,0.099193,-0.061514,-0.001261,-0.069856,65.821026,64.982479,0.0,0.0,29.75,0.997993,0.0,-1.292242,0.0,0.0,29.0,1.0,145.0,0.0
